SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,NYY,4,0,0,0,4.0,3,3,3,1,5,5,0,0,0,0,0,0.0,2.00,6.75
2010,ATL,25,0,0,0,19.0,15,4,4,1,17,27,2,0,0,1,0,0.5,1.68,1.89
2011,FLA,72,0,0,0,63.0,51,28,24,9,31,68,5,6,0,15,4,0.7,1.30,3.43
2012,MIA,60,0,0,0,44.0,49,31,24,3,29,47,0,3,1,18,5,-0.9,1.77,4.91
2013,MIA,75,0,0,0,67.2,53,21,20,5,28,72,3,4,2,18,3,1.6,1.20,2.66
2014,MIA,75,0,0,0,57.0,47,25,20,4,22,67,10,6,1,22,3,0.4,1.21,3.16
2015,MIA,72,0,0,0,54.0,46,27,27,6,29,65,2,5,0,23,3,-0.2,1.39,4.50
2016,MIA,51,0,0,0,42.1,43,16,16,5,11,38,6,1,0,8,4,0.6,1.28,3.40
2017,COL,68,0,0,0,50.1,43,25,25,8,28,57,5,1,0,19,1,0.7,1.41,4.47
2018,COL,16,0,0,0,12.1,12,10,10,1,10,9,0,0,0,3,0,-0.3,1.78,7.30
