SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2011,MIL,2,0,0,0,2.0,2,0,0,0,3,2,0,0,0,0,0,0.1,2.50,0.00
2012,MIL,23,22,0,0,127.2,125,56,53,12,36,135,9,10,0,0,0,1.6,1.26,3.74
2013,MIL,11,3,0,0,22.1,28,20,18,8,6,15,1,4,0,0,0,-0.9,1.52,7.25
2014,MIL,14,10,0,0,71.2,46,19,17,7,17,76,6,5,0,0,0,2.5,0.88,2.13
2015,MIL,21,21,0,0,118.0,117,57,51,14,43,121,5,9,0,0,0,1.2,1.36,3.89
2015,HOU,10,9,1,1,62.1,45,26,23,10,21,59,2,1,0,0,0,1.0,1.06,3.32
2015,Total,31,30,1,1,180.1,162,83,74,24,64,180,7,10,0,0,0,2.2,1.25,3.69
2016,HOU,31,30,0,0,168.2,187,89,84,26,42,134,11,8,0,0,0,0.3,1.36,4.48
2017,HOU,29,28,0,0,153.1,157,95,89,32,62,146,8,10,0,0,0,-0.6,1.43,5.22
2018,DET,8,8,0,0,43.1,46,25,22,10,7,28,4,3,0,0,0,0.2,1.22,4.57
