SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2010,CIN,24,22,0,0,138.1,158,77,65,19,49,91,8,4,0,0,0,-0.3,1.50,4.23
2011,CIN,29,26,0,0,167.2,159,74,72,23,38,118,12,9,0,0,0,1.4,1.17,3.86
2012,CIN,30,30,2,0,179.0,201,97,91,26,41,116,8,9,0,0,0,0.6,1.35,4.58
2013,CIN,31,31,0,0,192.1,193,78,72,21,48,122,14,7,0,0,0,3.0,1.25,3.37
2014,CIN,33,33,0,0,214.1,217,93,88,23,50,164,11,13,0,0,0,1.5,1.25,3.70
2015,CIN,21,21,1,0,136.2,123,55,54,14,34,90,9,5,0,0,0,2.3,1.15,3.56
2015,SF,9,9,1,1,55.1,51,25,25,8,15,29,2,5,0,0,0,0.6,1.19,4.07
2015,Total,30,30,2,1,192.0,174,80,79,22,49,119,11,10,0,0,0,2.9,1.16,3.70
2016,STL,30,30,0,0,176.2,203,101,92,20,30,125,9,12,0,0,0,0.5,1.32,4.69
2017,SEA,5,5,0,0,32.0,32,10,9,1,2,27,3,1,0,0,0,1.0,1.06,2.53
2017,STL,26,26,0,0,154.0,169,83,72,19,35,103,7,12,0,0,0,0.8,1.32,4.21
2017,Total,31,31,0,0,186.0,201,93,81,20,37,130,10,13,0,0,0,1.7,1.28,3.92
2018,SEA,10,10,0,0,57.2,68,37,35,8,16,37,4,3,0,0,0,-0.1,1.46,5.46
