YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2009,PIT,17,36,5,7,1,0,0,0,4,11,1,0,.194,.275,.222,.497,-0.6
2010,PIT,110,426,57,126,29,3,12,66,34,83,2,3,.296,.349,.462,.811,1.9
2011,PIT,159,596,76,163,36,4,12,83,54,112,9,6,.273,.334,.408,.742,2.3
2012,PIT,129,472,62,132,27,0,14,69,47,104,7,5,.280,.342,.426,.768,2.5
2013,PIT,133,478,62,120,24,4,16,53,50,85,1,2,.251,.339,.418,.757,3.9
2014,PIT,137,512,74,139,25,3,23,76,45,88,2,2,.271,.342,.467,.809,3.6
2015,PIT,151,543,69,146,32,3,16,71,44,110,4,1,.269,.328,.427,.755,2.4
2016,NYM,113,412,57,116,9,1,23,55,42,84,3,1,.282,.347,.476,.823,2.4
2017,MIL,38,120,19,32,8,0,4,13,28,30,0,1,.267,.409,.433,.842,0.5
2017,NYM,73,265,40,70,13,2,10,36,27,47,0,1,.264,.339,.442,.781,1.0
2017,Total,111,385,59,102,21,2,14,49,55,77,0,2,.265,.362,.439,.801,1.5
2018,NYY,34,123,21,27,6,0,2,14,13,28,0,0,.220,.297,.317,.614,-0.4
