YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2008,SD,60,198,21,47,7,1,5,24,11,52,0,0,.237,.278,.359,.637,0.5
2009,SD,78,256,23,61,15,2,8,30,28,76,5,1,.238,.313,.406,.719,0.9
2010,SD,85,273,33,68,18,2,8,43,25,66,0,5,.249,.308,.418,.726,-0.2
2011,SD,82,281,34,81,16,5,9,29,22,74,1,1,.288,.347,.477,.824,3.1
2012,SD,58,204,14,32,7,1,3,22,15,56,0,3,.157,.219,.245,.464,-0.6
2013,SD,114,373,35,87,19,0,13,44,26,98,1,0,.233,.290,.389,.679,1.0
2014,BAL,50,159,17,37,4,0,5,19,10,50,1,0,.233,.273,.352,.625,0.0
2014,SD,33,59,1,16,3,0,1,3,0,13,0,0,.271,.271,.373,.644,0.1
2014,Total,83,218,18,53,7,0,6,22,10,63,1,0,.243,.273,.358,.631,0.1
2015,COL,103,366,45,110,21,5,10,43,21,76,5,6,.301,.339,.467,.806,1.8
2016,COL,83,289,30,75,20,1,10,48,25,65,0,0,.260,.320,.439,.759,0.1
2017,SF,101,287,27,70,23,0,9,35,12,81,0,0,.244,.272,.418,.690,0.5
2018,SF,29,78,12,20,4,0,5,15,4,20,0,0,.256,.293,.500,.793,0.4
