YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2008,SF,41,145,24,50,10,1,3,24,4,14,0,0,.345,.357,.490,.847,1.0
2009,SF,153,572,79,189,44,5,25,90,52,83,5,5,.330,.387,.556,.943,4.1
2010,SF,152,563,61,151,34,3,13,63,47,81,3,2,.268,.323,.409,.732,1.3
2011,SF,117,426,55,134,26,3,23,70,32,63,2,4,.315,.357,.552,.909,5.9
2012,SF,108,396,59,112,25,2,12,63,38,59,1,1,.283,.342,.447,.789,2.0
2013,SF,141,525,52,146,27,2,14,79,47,79,0,0,.278,.341,.417,.758,2.5
2014,SF,157,588,68,164,26,3,16,73,39,85,0,0,.279,.324,.415,.739,3.4
2015,BOS,126,470,43,115,25,1,10,47,25,73,0,0,.245,.292,.366,.658,-0.9
2016,BOS,3,6,0,0,0,0,0,0,1,4,0,0,.000,.143,.000,.143,-0.2
2017,BOS,32,99,10,21,2,0,4,12,8,24,0,1,.212,.269,.354,.623,-1.0
2017,SF,47,160,17,36,9,0,5,20,8,29,0,0,.225,.263,.375,.638,-0.4
2017,Total,79,259,27,57,11,0,9,32,16,53,0,1,.220,.265,.367,.632,-1.4
2018,SF,38,72,5,17,4,0,2,12,7,23,0,0,.236,.300,.375,.675,0.2
