SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2006,MIN,32,0,0,0,37.0,23,9,9,6,6,53,4,2,0,10,2,1.4,0.78,2.19
2007,MIN,74,0,0,0,70.1,44,25,23,7,27,74,7,2,0,15,3,1.4,1.01,2.94
2008,MIN,15,0,0,0,13.1,12,7,7,2,4,15,0,1,0,6,2,0.0,1.20,4.73
2010,MIN,11,0,0,0,9.0,7,5,5,1,8,9,0,1,0,1,1,0.0,1.67,5.00
2011,SD,25,0,0,0,24.2,19,12,11,4,22,20,1,1,0,0,0,-0.1,1.66,4.01
2012,OAK,24,0,0,0,19.2,10,3,3,3,6,16,2,1,0,4,2,0.8,0.81,1.37
2013,OAK,45,0,0,0,40.1,40,17,15,6,15,29,2,1,0,1,0,0.4,1.36,3.35
2014,STL,71,0,0,0,67.1,44,14,14,4,9,68,7,2,6,25,4,2.3,0.79,1.87
2015,HOU,66,0,0,0,54.2,49,25,22,8,12,51,3,6,1,28,3,0.3,1.12,3.62
2016,HOU,60,0,0,0,47.0,33,17,16,6,11,43,2,2,0,18,0,0.6,0.94,3.06
2017,PHI,43,0,0,0,40.1,28,5,5,2,5,45,3,2,1,10,2,2.1,0.82,1.12
2017,COL,28,0,0,0,22.0,20,8,6,1,1,24,2,1,0,13,2,0.7,0.95,2.45
2017,Total,71,0,0,0,62.1,48,13,11,3,6,69,5,3,1,23,4,2.8,0.87,1.59
