SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,TEX,7,0,0,0,7.0,6,6,6,0,4,9,0,0,0,0,0,-0.1,1.43,7.71
2010,TEX,15,0,0,0,10.2,17,12,12,2,11,11,0,0,0,1,0,-0.5,2.63,10.13
2011,BAL,12,0,0,0,12.1,8,1,1,0,3,12,2,0,0,4,1,0.8,0.89,0.73
2011,TEX,11,0,0,0,9.2,7,4,4,0,7,9,0,1,0,0,1,0.1,1.45,3.72
2011,Total,23,0,0,0,22.0,15,5,5,0,10,21,2,1,0,4,2,0.9,1.14,2.05
2012,BAL,70,0,0,0,66.1,52,18,18,2,37,58,5,2,3,24,7,2.4,1.34,2.44
2013,BAL,29,0,0,0,22.1,23,19,18,4,15,24,0,3,0,3,3,-0.8,1.70,7.25
2013,CHC,37,0,0,0,35.0,22,11,11,1,11,42,2,2,1,14,0,0.8,0.94,2.83
2013,Total,66,0,0,0,57.1,45,30,29,5,26,66,2,5,1,17,3,0.0,1.24,4.55
2014,CHC,65,0,0,0,61.0,40,19,15,2,25,71,2,4,2,21,4,1.6,1.07,2.21
2015,CHC,76,0,0,0,68.0,39,24,22,5,29,81,2,6,3,28,2,1.1,1.00,2.91
2016,CHC,54,0,0,0,47.1,27,16,15,4,15,60,2,2,0,21,4,0.7,0.89,2.85
2017,CHC,69,0,0,0,60.1,45,22,19,4,26,65,5,4,0,21,4,1.1,1.18,2.83
2018,CHC,20,0,0,0,20.0,13,3,3,1,4,19,3,0,0,3,1,0.8,0.85,1.35
