SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2006,ATL,15,0,0,0,15.0,18,8,8,1,5,14,0,0,0,0,0,0.1,1.53,4.80
2007,ATL,80,0,0,0,90.0,65,27,18,6,31,63,5,3,1,8,1,1.8,1.07,1.80
2008,ATL,7,0,0,0,5.2,5,1,1,1,1,5,0,1,1,4,1,0.3,1.06,1.59
2009,ATL,87,0,0,0,73.0,65,29,23,0,35,61,6,2,0,25,5,1.2,1.37,2.84
2010,ATL,85,0,0,0,63.2,53,24,21,5,37,52,6,2,1,21,3,0.9,1.41,2.97
2011,ATL,13,0,0,0,8.1,12,3,3,0,3,10,2,1,0,2,0,0.1,1.80,3.24
2012,ATL,8,0,0,0,5.0,3,3,1,1,2,2,1,0,1,1,0,-0.1,1.00,1.80
2013,LAD,14,0,0,0,15.1,23,11,11,3,7,6,1,0,0,1,0,-0.4,1.96,6.46
2015,ATL,22,0,0,0,10.1,12,5,4,1,0,8,1,0,0,3,1,0.1,1.16,3.48
2016,KC,50,0,0,0,44.2,42,19,17,4,16,34,2,0,0,7,0,0.6,1.30,3.43
2017,KC,79,0,0,0,59.1,40,26,23,4,25,46,0,0,0,24,1,1.1,1.10,3.49
2018,ATL,22,0,0,0,16.1,20,5,5,0,13,16,0,0,0,0,0,0.3,2.02,2.76
