YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2013,ATL,4,6,2,2,0,0,0,0,1,2,0,0,.333,.429,.333,.762,0.1
2014,ATL,46,128,17,34,4,0,1,3,5,27,2,2,.266,.304,.320,.624,0.9
2015,ATL,20,40,2,13,4,0,0,2,2,5,2,0,.325,.357,.425,.782,0.2
2015,ARI,24,66,17,20,5,1,3,13,7,11,0,1,.303,.382,.545,.927,0.6
2015,Total,44,106,19,33,9,1,3,15,9,16,2,1,.311,.373,.500,.873,0.8
2016,ARI,122,220,26,61,12,1,2,13,15,46,3,0,.277,.324,.368,.692,0.3
2017,TEX,12,8,0,1,1,0,0,0,0,3,0,0,.125,.125,.250,.375,-0.2
2017,PIT,28,40,3,6,1,0,0,2,2,9,0,1,.150,.190,.175,.365,-0.6
2017,Total,40,48,3,7,2,0,0,2,2,12,0,1,.146,.180,.188,.368,-0.8
2018,CIN,20,24,5,3,0,0,1,2,4,8,0,0,.125,.250,.250,.500,-0.1
