SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2007,NYY,13,13,0,0,72.2,64,39,36,8,29,58,5,3,0,0,0,0.8,1.28,4.46
2008,NYY,8,8,0,0,34.0,43,26,25,3,15,23,0,4,0,0,0,-0.3,1.71,6.62
2009,NYY,51,7,0,0,86.0,68,31,29,8,28,96,8,3,3,18,3,2.5,1.12,3.03
2010,NYY,31,29,0,0,176.1,162,83,82,25,58,146,18,8,0,0,0,1.9,1.25,4.19
2011,NYY,17,14,1,1,74.2,84,48,48,9,27,47,5,5,0,0,0,-0.2,1.49,5.79
2012,NYY,32,32,1,0,191.1,196,101,90,35,46,165,16,13,0,0,0,1.5,1.26,4.23
2013,NYY,30,29,0,0,145.2,170,91,84,24,42,121,4,14,0,0,0,-0.7,1.46,5.19
2014,MIN,32,32,1,0,209.2,221,88,82,16,16,186,16,10,0,0,0,4.3,1.13,3.52
2015,MIN,27,25,1,0,155.1,184,76,76,29,16,94,11,9,0,0,0,1.8,1.29,4.40
2016,MIN,12,11,1,0,59.0,76,40,39,11,13,34,1,7,0,0,0,-0.1,1.51,5.95
2017,MIN,14,9,0,0,53.2,72,38,35,12,13,38,4,3,0,0,0,-0.6,1.58,5.87
2018,MIN,7,2,0,0,12.0,14,9,9,4,5,8,0,0,0,0,0,-0.2,1.58,6.75
