YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2004,SEA,2,3,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,-0.1
2005,SEA,16,48,3,19,3,0,1,6,1,11,0,0,.396,.408,.521,.929,0.5
2006,SEA,35,99,8,15,4,0,2,4,3,29,1,0,.152,.184,.253,.437,-0.5
2011,MIN,45,104,9,15,3,0,1,5,8,32,0,0,.144,.211,.202,.413,-0.2
2013,SD,23,67,4,17,3,1,0,7,2,16,0,0,.254,.268,.328,.596,0.5
2014,SD,103,294,27,74,18,1,11,44,27,76,0,0,.252,.319,.432,.751,3.1
2015,TB,110,298,16,53,14,0,5,26,11,86,0,0,.178,.213,.275,.488,-2.0
2016,NYM,65,185,12,41,4,0,6,26,16,54,0,0,.222,.291,.341,.632,0.5
2017,CHC,20,44,8,15,5,0,2,12,5,16,0,0,.341,.408,.591,.999,0.3
2017,NYM,54,174,15,40,4,0,8,23,9,54,0,1,.230,.278,.391,.669,-0.2
2017,Total,74,218,23,55,9,0,10,35,14,70,0,1,.252,.305,.431,.736,0.1
2018,LAA,22,54,7,14,3,0,3,10,4,21,0,0,.259,.322,.481,.803,0.4
