SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2005,CHC,10,4,0,0,23.2,25,24,24,3,17,21,0,2,0,0,0,-0.9,1.77,9.13
2006,CHC,17,16,2,1,99.1,83,51,46,16,39,90,6,7,0,0,0,1.4,1.23,4.17
2007,CHC,32,32,0,0,195.0,170,89,85,27,63,183,11,8,0,0,0,3.2,1.19,3.92
2008,CHC,5,5,0,0,19.2,13,9,9,2,18,15,1,0,0,0,0,0.4,1.58,4.12
2009,BAL,14,13,0,0,57.2,68,53,50,7,40,46,3,3,0,0,0,-1.3,1.87,7.80
2010,BOS,6,0,0,0,4.0,5,0,0,0,1,3,1,0,0,1,0,0.2,1.50,0.00
2011,BOS,9,0,0,0,8.0,3,0,0,0,3,12,0,0,0,3,0,0.5,0.75,0.00
2012,BOS,25,0,0,0,19.2,17,4,4,0,11,21,1,0,0,6,0,0.7,1.42,1.83
2013,CLE,63,0,0,0,38.2,38,30,27,3,29,51,1,2,0,13,2,-1.3,1.73,6.28
2014,LAA,2,0,0,0,0.0,1,1,1,0,3,0,0,0,0,0,0,0.0,INF,INF
2014,NYY,14,0,0,0,5.1,6,1,1,0,3,9,0,0,0,1,0,0.2,1.69,1.69
2014,Total,16,0,0,0,5.1,7,2,2,0,6,9,0,0,0,1,0,0.2,2.44,3.38
2015,BOS,4,4,1,1,29.0,14,5,5,2,5,36,2,1,0,0,0,1.6,0.66,1.55
2016,OAK,14,14,0,0,76.0,55,22,19,2,28,90,9,3,0,0,0,2.8,1.09,2.25
2016,LAD,6,6,0,0,34.1,22,7,7,2,5,39,3,2,0,0,0,1.3,0.79,1.83
2016,Total,20,20,0,0,110.1,77,29,26,4,33,129,12,5,0,0,0,4.1,1.00,2.12
2017,LAD,25,25,1,0,135.2,99,51,50,18,49,166,12,8,0,0,0,2.2,1.09,3.32
2018,LAD,6,6,0,0,24.2,30,18,17,7,13,25,1,2,0,0,0,-0.6,1.74,6.20
