SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,DET,31,31,0,0,170.2,176,81,75,23,52,89,14,9,0,0,0,2.2,1.34,3.96
2010,DET,27,27,0,0,162.2,188,96,89,18,38,84,10,12,0,0,0,-0.1,1.39,4.92
2011,DET,31,31,0,0,182.0,210,103,96,18,46,104,14,9,0,0,0,0.0,1.41,4.75
2012,DET,31,31,0,0,176.1,226,101,90,16,44,107,10,12,0,0,0,1.3,1.53,4.59
2013,DET,32,29,1,0,177.0,185,87,85,18,42,142,13,8,0,0,0,2.4,1.28,4.32
2014,DET,32,31,3,3,204.2,211,89,78,18,41,129,15,13,0,0,0,4.0,1.23,3.43
2015,BOS,28,28,0,0,172.0,196,103,94,25,38,149,9,15,0,0,0,0.6,1.36,4.92
2016,BOS,33,33,3,0,223.0,193,85,78,23,32,189,22,4,0,0,0,5.0,1.01,3.15
2017,BOS,33,33,2,0,203.1,236,125,105,38,48,181,11,17,0,0,0,-0.2,1.40,4.65
2018,BOS,11,11,0,0,67.1,64,30,28,5,13,65,6,2,0,0,0,1.7,1.14,3.74
