YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2005,NYY,132,522,78,155,34,4,14,62,16,68,1,3,.297,.320,.458,.778,0.5
2006,NYY,122,482,62,165,41,1,15,78,18,54,5,2,.342,.365,.525,.890,2.9
2007,NYY,160,617,93,189,41,7,19,97,39,85,4,5,.306,.353,.488,.841,6.3
2008,NYY,159,597,70,162,35,3,14,72,26,65,2,4,.271,.305,.410,.715,-0.2
2009,NYY,161,637,103,204,48,2,25,85,30,63,5,7,.320,.352,.520,.872,4.1
2010,NYY,160,626,103,200,41,3,29,109,57,77,3,2,.319,.381,.534,.915,7.8
2011,NYY,159,623,104,188,46,7,28,118,38,96,8,2,.302,.349,.533,.882,5.2
2012,NYY,161,627,105,196,48,1,33,94,61,96,3,2,.313,.379,.550,.929,8.2
2013,NYY,160,605,81,190,41,0,27,107,65,85,7,1,.314,.383,.516,.899,7.6
2014,SEA,157,595,77,187,37,2,14,82,61,68,10,3,.314,.382,.454,.836,6.4
2015,SEA,156,624,82,179,34,1,21,79,43,107,2,6,.287,.334,.446,.780,3.4
2016,SEA,161,655,107,195,33,2,39,103,47,100,0,1,.298,.350,.533,.883,7.3
2017,SEA,150,592,79,166,33,0,23,97,49,85,1,0,.280,.338,.453,.791,3.4
2018,SEA,39,143,24,41,10,0,4,23,21,23,0,0,.287,.385,.441,.826,1.6
