YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2006,LA,121,415,65,117,26,4,10,65,45,57,10,5,.282,.355,.436,.791,1.9
2007,LA,151,540,87,158,32,3,19,87,67,89,21,9,.293,.374,.469,.843,5.4
2008,LA,155,553,87,155,25,0,13,69,90,83,18,6,.280,.385,.396,.781,3.7
2009,LA,143,505,63,126,19,0,7,53,69,80,11,6,.250,.352,.329,.681,2.2
2010,LAD,97,331,45,82,13,0,5,26,48,61,6,2,.248,.347,.332,.679,1.8
2011,NYY,125,417,57,99,17,0,18,65,50,81,8,2,.237,.324,.408,.732,2.4
2012,NYY,133,422,50,89,18,0,21,53,53,95,6,1,.211,.311,.403,.714,1.5
2013,PIT,127,438,51,99,21,0,15,55,58,108,9,5,.226,.327,.377,.704,4.3
2014,PIT,111,379,45,110,20,0,11,67,59,78,4,4,.290,.402,.430,.832,5.5
2015,TOR,129,441,76,106,23,2,23,77,53,106,4,5,.240,.329,.458,.787,3.3
2016,TOR,137,455,62,105,16,0,20,74,64,148,2,1,.231,.335,.398,.733,1.7
2017,TOR,91,307,49,68,12,0,13,35,50,83,1,2,.221,.343,.388,.731,1.5
2018,TOR,33,111,14,17,4,0,5,12,19,33,0,0,.153,.288,.324,.612,0.1
