YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2007,MIL,113,451,91,146,26,6,34,97,29,112,15,5,.324,.370,.634,1.004,1.8
2008,MIL,151,611,92,174,39,7,37,106,42,129,14,4,.285,.335,.553,.888,4.3
2009,MIL,158,635,113,203,39,6,32,114,57,121,20,6,.320,.386,.551,.937,5.9
2010,MIL,157,619,101,188,45,1,25,103,56,105,14,3,.304,.365,.501,.866,5.5
2011,MIL,150,563,109,187,38,6,33,111,58,93,33,6,.332,.397,.597,.994,7.7
2012,MIL,154,598,108,191,36,3,41,112,63,128,30,7,.319,.391,.595,.986,6.8
2013,MIL,61,225,30,67,14,2,9,38,27,56,4,5,.298,.372,.498,.870,2.0
2014,MIL,135,530,68,141,30,6,19,81,41,113,11,5,.266,.324,.453,.777,1.0
2015,MIL,140,506,87,144,27,3,25,84,54,115,24,4,.285,.356,.498,.854,3.8
2016,MIL,135,511,80,156,23,3,30,91,46,98,16,5,.305,.365,.538,.903,4.4
2017,MIL,104,380,58,102,28,2,17,52,38,76,12,4,.268,.336,.487,.823,1.2
2018,MIL,38,130,14,29,9,0,5,20,9,32,4,2,.223,.268,.408,.676,-0.2
