SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2003,PHI,1,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.00,0.00
2004,PHI,52,1,0,0,77.0,68,23,20,6,19,55,9,3,1,7,1,2.1,1.13,2.34
2005,PHI,78,0,0,0,87.0,84,44,40,11,25,79,6,5,0,32,7,-0.4,1.25,4.14
2006,PHI,50,17,0,0,134.1,176,92,86,20,50,99,11,9,2,6,2,-0.5,1.68,5.76
2007,PHI,38,0,0,0,56.0,48,19,19,5,23,43,2,2,1,7,1,1.1,1.27,3.05
2008,PHI,76,0,0,0,82.2,79,29,28,6,23,67,4,2,1,17,2,1.3,1.23,3.05
2009,PHI,79,0,0,0,77.1,73,29,28,7,22,78,5,5,10,26,6,1.3,1.23,3.26
2010,PHI,55,0,0,0,53.0,42,16,15,4,13,64,6,2,5,15,5,1.3,1.04,2.55
2011,PHI,62,0,0,0,60.2,54,16,16,2,16,62,4,2,32,3,2,2.0,1.15,2.37
2015,KC,68,0,0,0,63.1,47,17,15,5,14,58,1,2,3,20,2,1.7,0.96,2.13
2016,OAK,63,0,0,0,64.2,63,27,26,7,20,49,6,7,30,3,7,1.2,1.28,3.62
2017,OAK,40,0,0,0,39.1,25,9,9,2,6,39,2,4,1,14,3,1.6,0.79,2.06
2017,WSH,20,0,0,0,19.2,13,3,3,0,3,28,3,0,1,11,0,1.0,0.81,1.37
2017,Total,60,0,0,0,59.0,38,12,12,2,9,67,5,4,2,25,3,2.6,0.80,1.83
2018,WSH,21,0,0,0,19.1,21,10,9,0,6,20,1,2,3,6,2,-0.1,1.40,4.19
