SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2012,TOR,2,0,0,0,0.2,4,3,3,0,2,1,0,0,0,0,0,-0.1,9.00,40.50
2013,MIA,5,1,0,0,11.0,16,12,11,2,5,5,0,2,0,0,0,-0.5,1.91,9.00
2014,MIA,31,0,0,0,42.0,41,14,10,1,15,33,3,1,0,0,1,0.7,1.33,2.14
2015,TEX,31,0,0,0,31.1,24,5,4,1,4,30,2,1,2,12,0,1.5,0.89,1.15
2015,MIA,44,0,0,0,44.0,41,21,18,3,17,41,3,3,0,9,2,-0.0,1.32,3.68
2015,Total,75,0,0,0,75.1,65,26,22,4,21,71,5,4,2,21,2,1.5,1.14,2.63
2016,TEX,73,0,0,0,70.1,63,19,19,5,23,55,3,2,38,10,5,2.9,1.22,2.43
2017,TEX,17,0,0,0,16.2,31,23,20,6,12,7,1,6,0,3,4,-1.5,2.58,10.80
2017,SF,38,0,0,0,38.0,36,18,17,2,18,27,3,4,14,1,3,0.3,1.42,4.03
2017,Total,55,0,0,0,54.2,67,41,37,8,30,34,4,10,14,4,7,-1.2,1.77,6.09
2018,SF,23,0,0,0,22.1,17,7,7,2,8,16,2,0,0,6,2,0.4,1.12,2.82
