SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2004,OAK,4,0,0,0,5.2,5,8,8,3,9,5,0,0,0,0,0,-0.2,2.47,12.71
2005,OAK,3,0,0,0,3.0,2,1,1,0,1,1,0,0,0,0,0,0.0,1.00,3.00
2006,OAK,2,0,0,0,2.1,2,3,3,0,2,2,0,0,0,0,0,-0.1,1.71,11.57
2007,OAK,46,0,0,0,50.2,43,25,25,6,23,52,3,1,2,12,3,0.2,1.30,4.44
2008,OAK,51,0,0,0,50.1,60,22,22,5,20,43,2,1,2,8,1,0.4,1.59,3.93
2009,OAK,46,0,0,0,48.1,61,36,32,6,25,35,1,2,0,5,0,-0.6,1.78,5.96
2010,SF,52,0,0,0,55.1,40,14,12,2,26,56,7,2,2,11,1,1.5,1.19,1.95
2011,SF,49,0,0,0,51.2,33,11,10,1,25,45,2,2,6,6,1,1.3,1.12,1.74
2012,SF,73,0,0,0,63.1,55,24,20,8,22,55,7,6,25,12,6,0.4,1.22,2.84
2013,SF,57,0,0,0,50.0,39,14,12,2,25,38,7,2,2,23,1,1.1,1.28,2.16
2014,SF,54,0,0,0,58.1,35,13,11,3,15,45,3,3,19,10,4,2.0,0.86,1.70
2015,SF,67,0,0,0,58.0,51,19,18,6,23,62,4,2,38,0,6,1.1,1.28,2.79
2016,SF,62,0,0,0,58.0,50,23,23,8,19,65,2,5,31,3,9,0.8,1.19,3.57
2017,OAK,63,0,0,0,59.0,58,29,28,8,22,57,4,5,16,4,7,0.6,1.36,4.27
2018,OAK,15,0,0,0,21.0,11,8,8,0,13,14,0,0,1,0,0,0.3,1.14,3.43
