SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2008,SF,29,0,0,0,34.0,16,13,8,3,8,33,3,1,0,5,0,0.6,0.71,2.12
2009,SF,45,0,0,0,34.0,30,15,15,1,11,41,5,2,2,11,0,0.4,1.21,3.97
2010,SF,68,0,0,0,62.0,46,16,15,6,14,70,5,3,0,21,4,1.7,0.97,2.18
2011,SF,65,0,0,0,48.0,29,8,8,2,5,70,3,1,1,23,1,1.8,0.71,1.50
2012,SF,69,0,0,0,55.1,37,11,11,5,10,63,4,2,14,23,1,1.8,0.85,1.79
2013,SF,65,0,0,0,60.1,53,20,17,5,12,58,5,8,38,0,5,0.7,1.08,2.54
2014,SF,64,0,0,0,58.0,43,24,24,9,12,59,6,4,23,11,5,0.4,0.95,3.72
2015,SF,70,0,0,0,57.1,51,20,19,3,10,71,0,5,2,34,2,0.8,1.06,2.98
2016,SF,40,0,0,0,30.2,26,9,9,5,7,33,1,0,4,14,0,0.8,1.08,2.64
2017,LAD,30,0,0,0,25.0,23,17,17,7,12,31,1,1,0,7,0,-0.5,1.40,6.12
2017,TB,25,0,0,0,30.2,19,6,5,2,7,28,2,0,0,4,1,1.0,0.85,1.47
2017,Total,55,0,0,0,55.2,42,23,22,9,19,59,3,1,0,11,1,0.5,1.10,3.56
2018,TB,20,2,0,0,18.2,18,9,9,4,9,26,1,0,0,4,3,0.0,1.45,4.34
