SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,SEA,41,0,0,0,46.0,45,23,23,9,9,41,5,4,0,9,4,-0.1,1.17,4.50
2010,SEA,22,0,0,0,25.0,26,11,11,5,12,26,3,1,0,3,0,0.1,1.52,3.96
2011,SEA,10,0,0,0,12.2,7,0,0,0,3,10,0,0,0,1,0,0.6,0.79,0.00
2012,SEA,47,0,0,0,44.1,43,20,16,5,15,45,2,4,0,6,2,0.2,1.31,3.25
2013,NYY,57,0,0,0,53.1,47,28,26,8,23,71,4,2,0,11,1,0.0,1.31,4.39
2014,NYY,59,0,0,0,51.2,45,26,26,5,20,67,3,6,4,12,3,-0.2,1.26,4.53
2015,SD,53,0,0,0,51.1,41,18,14,4,15,63,2,2,0,7,0,0.8,1.09,2.45
2016,WSH,67,0,0,0,58.0,41,19,17,9,11,80,3,2,7,14,2,1.4,0.90,2.64
2017,WSH,33,0,0,0,26.0,29,21,21,12,11,25,3,2,4,2,2,-0.7,1.54,7.27
2018,WSH,12,0,0,0,8.2,8,5,5,3,3,12,0,0,0,1,0,-0.1,1.27,5.19
