YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2005,SEA,10,18,1,1,0,0,0,1,3,4,0,0,.056,.190,.056,.246,-0.1
2006,CLE,45,146,23,43,11,3,3,22,18,46,5,3,.295,.373,.473,.846,1.4
2006,SEA,4,11,0,1,1,0,0,0,0,4,0,0,.091,.167,.182,.349,-0.3
2006,Total,49,157,23,44,12,3,3,22,18,50,5,3,.280,.360,.452,.812,1.1
2007,CLE,6,17,5,5,0,0,0,5,2,5,0,1,.294,.350,.294,.644,0.1
2008,CLE,94,317,68,98,28,3,14,66,44,78,4,3,.309,.397,.549,.946,3.4
2009,CLE,156,583,87,175,38,6,20,86,78,151,21,2,.300,.394,.489,.883,5.2
2010,CLE,144,550,81,165,31,2,22,90,83,118,22,7,.300,.401,.484,.885,5.6
2011,CLE,85,313,37,81,11,3,8,36,36,78,12,5,.259,.344,.390,.734,1.5
2012,CLE,155,598,88,169,43,2,16,67,73,150,21,7,.283,.373,.441,.814,3.1
2013,CIN,154,569,107,162,34,2,21,54,112,133,20,11,.285,.423,.462,.885,4.2
2014,TEX,123,455,58,110,19,1,13,40,58,131,3,4,.242,.340,.374,.714,0.1
2015,TEX,149,555,94,153,32,3,22,82,76,147,4,2,.276,.375,.463,.838,3.5
2016,TEX,48,178,27,43,7,0,7,17,25,46,6,3,.242,.357,.399,.756,0.3
2017,TEX,149,544,96,142,20,1,22,78,77,134,12,3,.261,.357,.423,.780,1.1
2018,TEX,50,195,30,50,9,0,6,21,25,48,2,0,.256,.348,.395,.743,0.7
