SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2010,FLA,3,0,0,0,4.1,1,0,0,0,1,3,0,0,0,0,0,0.2,0.46,0.00
2011,FLA,45,0,0,0,54.2,45,18,16,1,19,55,2,1,3,2,0,1.2,1.17,2.63
2012,MIA,68,0,0,0,63.2,54,26,19,3,29,68,5,2,15,13,4,0.9,1.30,2.69
2013,MIA,69,0,0,0,69.2,53,19,18,3,22,74,4,6,34,1,2,2.1,1.08,2.33
2014,MIA,67,0,0,0,65.1,58,26,23,3,21,84,4,5,39,0,4,0.9,1.21,3.17
2015,STL,27,0,0,0,23.1,18,7,6,2,13,20,0,0,1,3,1,0.4,1.33,2.31
2015,MIA,32,0,0,0,32.0,37,19,16,2,14,28,2,6,3,3,4,-0.6,1.59,4.50
2015,Total,59,0,0,0,55.1,55,26,22,4,27,48,2,6,4,6,5,-0.2,1.48,3.58
2016,SEA,62,0,0,0,64.0,44,21,20,8,21,76,4,6,25,9,7,1.6,1.02,2.81
2017,SEA,23,0,0,0,20.0,13,7,7,3,7,15,1,1,1,6,3,0.4,1.00,3.15
2017,TB,26,0,0,0,24.2,13,3,3,0,7,26,2,1,0,9,0,1.1,0.81,1.09
2017,Total,49,0,0,0,44.2,26,10,10,3,14,41,3,2,1,15,3,1.5,0.90,2.01
2018,CHC,22,0,0,0,21.0,12,5,4,0,12,20,1,0,1,3,1,0.6,1.14,1.71
