YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2007,PIT,23,68,13,20,5,1,0,6,5,12,2,1,.294,.342,.397,.739,0.4
2008,PIT,37,109,6,27,7,0,4,15,5,22,2,0,.248,.294,.422,.716,-0.2
2009,PIT,60,165,19,34,13,1,4,16,21,43,1,0,.206,.296,.370,.666,-0.1
2010,PIT,15,29,4,8,2,1,0,5,7,6,0,0,.276,.395,.414,.809,0.3
2011,PIT,50,94,8,19,2,0,1,10,7,21,0,0,.202,.260,.255,.515,-0.8
2012,BAL,28,71,8,18,4,0,3,14,8,17,0,1,.254,.321,.437,.758,0.4
2012,NYY,12,25,6,4,0,0,1,4,5,8,0,0,.160,.300,.280,.580,-0.1
2012,HOU,21,63,2,16,4,1,0,8,7,16,1,1,.254,.347,.349,.696,-0.1
2012,Total,61,159,16,38,8,1,4,26,20,41,1,2,.239,.328,.377,.705,0.2
2013,BAL,44,119,14,31,7,0,4,13,15,25,1,0,.261,.362,.420,.782,0.5
2014,BAL,102,338,51,99,26,0,21,49,40,76,5,0,.293,.373,.556,.929,6.0
2015,BAL,92,294,42,64,13,1,15,40,23,69,1,1,.218,.289,.422,.711,-0.4
2016,BAL,25,60,9,13,2,0,3,6,8,14,0,0,.217,.329,.400,.729,0.1
2016,TB,60,204,26,63,11,1,10,29,26,40,0,3,.309,.388,.520,.908,2.2
2016,Total,85,264,35,76,13,1,13,35,34,54,0,3,.288,.374,.492,.866,2.3
2017,TOR,92,313,38,79,17,1,13,37,27,68,0,0,.252,.319,.438,.757,0.0
2018,TOR,22,66,14,18,5,0,3,13,6,11,0,0,.273,.333,.485,.818,0.1
