SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2007,SF,24,24,0,0,146.1,122,70,65,12,65,150,7,5,0,0,0,2.1,1.28,4.00
2008,SF,34,33,2,1,227.0,182,72,66,11,84,265,18,5,0,0,0,7.6,1.17,2.62
2009,SF,32,32,4,2,225.1,168,69,62,10,68,261,15,7,0,0,0,7.1,1.05,2.48
2010,SF,33,33,1,1,212.1,194,84,81,18,76,231,16,10,0,0,0,3.0,1.27,3.43
2011,SF,33,33,1,1,217.0,176,74,66,15,86,220,13,14,0,0,0,3.9,1.21,2.74
2012,SF,33,33,0,0,186.0,183,111,107,23,90,190,10,15,0,0,0,-2.0,1.47,5.18
2013,SF,32,32,1,1,197.2,184,102,96,21,76,193,10,14,0,0,0,-0.6,1.32,4.37
2014,SF,33,26,1,1,155.2,154,86,82,19,63,134,12,9,1,0,0,-0.7,1.39,4.74
2015,SF,15,15,0,0,76.1,75,37,35,7,38,60,7,4,0,0,0,0.3,1.48,4.13
2016,LAA,9,9,0,0,38.1,68,41,39,11,23,32,2,6,0,0,0,-1.6,2.37,9.16
