YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2011,CIN,41,112,17,26,5,0,6,15,7,27,1,0,.232,.289,.438,.727,0.8
2012,CIN,128,422,55,115,26,6,19,67,36,103,3,2,.273,.331,.498,.829,1.9
2013,CIN,150,531,63,124,29,3,19,73,50,125,6,5,.234,.314,.407,.721,2.7
2014,CIN,157,597,88,163,22,1,29,80,52,139,20,8,.273,.336,.459,.795,5.3
2015,CIN,157,619,82,158,43,1,35,89,44,137,13,8,.255,.309,.498,.807,4.0
2016,CHW,158,590,89,133,21,0,40,98,64,163,15,5,.225,.302,.464,.766,3.4
2017,CHW,81,280,41,58,15,0,16,44,48,71,4,3,.207,.328,.432,.760,1.8
2017,NYY,66,194,33,43,4,1,11,32,35,54,0,0,.222,.365,.423,.788,1.6
2017,Total,147,474,74,101,19,1,27,76,83,125,4,3,.213,.344,.428,.772,3.4
2018,NYM,32,114,18,27,5,0,5,21,21,33,3,0,.237,.357,.412,.769,0.8
