SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2008,TEX,3,3,0,0,11.0,23,20,20,4,3,9,0,2,0,0,0,-0.8,2.36,16.36
2009,TEX,19,19,1,0,112.0,113,55,51,13,33,64,9,6,0,0,0,1.7,1.30,4.10
2010,TEX,23,22,1,0,128.0,126,55,53,21,33,68,13,4,0,0,0,2.5,1.24,3.73
2011,BAL,12,11,0,0,69.1,88,44,39,11,10,35,3,3,0,1,0,0.0,1.41,5.06
2011,TEX,8,0,0,0,15.1,12,6,5,1,5,10,1,1,0,0,1,0.2,1.11,2.93
2011,Total,20,11,0,0,84.2,100,50,44,12,15,45,4,4,0,1,1,0.2,1.36,4.68
2012,BAL,33,20,0,0,133.2,161,85,81,32,27,77,7,8,0,0,1,-0.3,1.41,5.45
2013,BAL,68,0,0,0,86.1,71,28,27,11,14,68,6,5,4,21,2,2.0,0.98,2.81
2014,BAL,60,0,0,0,60.2,55,22,20,4,12,45,3,2,11,12,6,0.6,1.10,2.97
2015,BAL,39,0,0,0,44.2,41,19,18,3,11,32,2,2,0,6,1,0.6,1.16,3.63
2015,CHC,19,0,0,0,15.2,20,10,10,4,3,15,2,0,1,1,0,-0.2,1.47,5.74
2015,Total,58,0,0,0,60.1,61,29,28,7,14,47,4,2,1,7,1,0.4,1.24,4.18
2016,BAL,12,0,0,0,12.1,14,3,3,0,3,6,0,0,0,1,0,0.4,1.38,2.19
2016,CLE,21,0,0,0,21.2,21,10,9,1,5,17,2,2,0,0,1,0.2,1.20,3.74
2016,Total,33,0,0,0,34.0,35,13,12,1,8,23,2,2,0,1,1,0.6,1.26,3.18
2017,TB,61,0,0,0,58.2,43,18,17,6,14,64,3,5,1,25,0,1.2,0.97,2.61
2018,PHI,13,0,0,0,10.2,15,5,5,1,2,10,1,0,0,7,0,0.1,1.59,4.22
