SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,CLE,46,0,0,0,40.0,27,16,13,5,25,48,2,0,0,10,0,0.6,1.30,2.93
2010,CLE,70,0,0,0,63.0,48,30,29,12,39,69,2,2,1,15,2,0.2,1.38,4.14
2011,CLE,69,0,0,0,62.1,45,22,21,10,24,57,6,3,0,24,1,1.2,1.11,3.03
2012,CLE,63,0,0,0,55.0,47,29,27,9,23,51,1,2,1,12,1,0.0,1.27,4.42
2013,ARI,56,0,0,0,37.2,35,22,20,6,22,42,3,2,0,3,2,-0.4,1.51,4.78
2014,HOU,56,0,0,0,50.2,28,19,19,5,17,63,4,3,4,12,2,0.8,0.89,3.38
2015,HOU,60,0,0,0,54.1,41,13,12,5,15,62,3,4,0,13,3,1.7,1.03,1.99
2016,HOU,60,0,0,0,43.2,52,26,24,12,18,40,1,2,1,12,1,-0.4,1.60,4.95
2017,HOU,46,0,0,0,37.1,36,25,24,8,16,39,0,1,0,4,0,-0.3,1.39,5.79
2018,HOU,11,0,0,0,8.2,7,4,4,0,4,7,0,0,0,0,0,0.0,1.27,4.15
