SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2011,PIT,43,0,0,0,41.0,34,18,18,6,20,37,2,2,0,10,1,0.3,1.32,3.95
2012,PIT,68,0,0,0,53.1,37,21,20,5,23,53,5,2,0,16,2,0.4,1.13,3.38
2013,PIT,67,0,0,0,71.2,51,19,19,5,12,54,3,1,2,22,2,1.4,0.88,2.39
2014,PIT,78,0,0,0,77.1,64,16,14,5,15,81,10,2,2,34,7,2.5,1.02,1.63
2015,PIT,77,0,0,0,75.1,55,17,16,3,17,62,4,1,1,41,2,2.5,0.96,1.91
2016,PIT,70,0,0,0,67.2,52,26,23,10,20,58,2,5,15,23,5,1.3,1.06,3.06
2017,LAD,24,0,0,0,20.0,15,6,6,2,6,18,2,1,0,8,1,0.4,1.05,2.70
2017,PIT,47,0,0,0,46.2,57,20,19,7,14,35,5,3,10,6,7,0.6,1.52,3.66
2017,Total,71,0,0,0,66.2,72,26,25,9,20,53,7,4,10,14,8,1.0,1.38,3.38
2018,SF,21,0,0,0,21.0,20,5,5,1,5,24,1,2,0,8,0,0.7,1.19,2.14
