YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2006,COL,25,96,15,23,2,0,1,6,10,25,3,0,.240,.318,.292,.610,-0.4
2007,COL,155,609,104,177,33,5,24,99,57,130,7,6,.291,.359,.479,.838,6.5
2008,COL,101,377,48,99,24,2,8,46,38,56,1,6,.263,.332,.401,.733,0.6
2009,COL,151,543,101,161,25,9,32,92,73,112,20,11,.297,.377,.552,.929,6.3
2010,COL,122,470,89,148,32,3,27,95,48,78,11,2,.315,.381,.568,.949,6.5
2011,COL,143,537,81,162,36,2,30,105,59,79,9,3,.302,.372,.544,.916,5.9
2012,COL,47,181,33,52,8,2,8,27,19,19,2,2,.287,.360,.486,.846,0.3
2013,COL,126,446,72,139,27,0,25,82,57,85,1,0,.312,.391,.540,.931,5.3
2014,COL,91,315,71,107,18,1,21,52,50,57,1,1,.340,.432,.603,1.035,5.5
2015,TOR,41,163,31,39,8,0,5,17,14,42,1,0,.239,.317,.380,.697,1.4
2015,COL,87,323,46,97,19,0,12,53,24,72,0,0,.300,.348,.471,.819,1.5
2015,Total,128,486,77,136,27,0,17,70,38,114,1,0,.280,.337,.440,.777,2.8
2016,TOR,131,492,54,125,21,0,24,79,43,101,1,0,.254,.318,.443,.761,3.3
2017,TOR,66,241,16,60,10,0,7,26,17,40,0,1,.249,.300,.378,.678,0.1
