SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2007,NYY,6,6,0,0,27.0,29,19,19,6,17,18,3,1,0,0,0,-0.1,1.70,6.33
2008,WAS,2,2,0,0,10.1,12,5,5,2,7,8,1,1,0,0,0,0.1,1.84,4.35
2009,WAS,41,0,0,0,60.1,36,20,18,9,32,67,4,2,0,3,1,1.3,1.13,2.69
2010,WSH,78,0,0,0,91.0,69,33,31,8,41,112,11,8,1,23,10,1.5,1.21,3.07
2011,WSH,72,0,0,0,88.1,48,18,18,11,26,104,3,0,0,38,7,3.3,0.84,1.83
2012,WSH,74,0,0,0,72.2,55,32,30,7,29,84,2,6,32,13,5,0.3,1.16,3.72
2013,WSH,72,0,0,0,71.0,37,19,19,9,24,73,6,3,0,33,3,1.8,0.86,2.41
2014,WSH,75,0,0,0,70.1,47,22,17,5,23,82,7,4,1,40,6,1.5,1.00,2.18
2015,OAK,37,0,0,0,38.2,25,12,12,3,21,38,1,3,17,0,4,1.0,1.19,2.79
2015,NYM,32,0,0,0,32.1,24,13,11,5,10,26,4,1,2,8,2,0.2,1.05,3.06
2015,Total,69,0,0,0,71.0,49,25,23,8,31,64,5,4,19,8,6,1.2,1.13,2.92
2016,NYY,29,0,0,0,25.1,20,9,7,3,11,26,2,3,2,12,1,0.6,1.22,2.49
2016,ARI,40,0,0,0,37.2,34,18,18,7,15,46,2,3,1,13,2,0.4,1.30,4.30
2016,Total,69,0,0,0,63.0,54,27,25,10,26,72,4,6,3,25,3,1.0,1.27,3.57
2017,CHW,11,0,0,0,10.0,8,2,2,0,5,12,1,1,2,0,0,0.5,1.30,1.80
2017,NYY,40,0,0,0,36.1,28,21,20,7,19,42,1,5,1,8,5,-0.2,1.29,4.95
2017,HOU,16,0,0,0,14.0,11,10,10,3,7,18,0,2,2,1,1,-0.3,1.29,6.43
2017,Total,67,0,0,0,60.1,47,33,32,10,31,72,2,8,5,9,6,0.1,1.29,4.77
2018,TOR,26,0,0,0,25.0,16,10,9,4,15,28,4,2,2,5,2,0.5,1.24,3.24
