YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2009,CWS,10,16,3,3,1,0,0,0,3,8,0,0,.188,.350,.250,.600,0.0
2010,CHW,8,11,2,1,0,0,0,0,4,5,0,0,.091,.333,.091,.424,0.0
2011,CHW,38,110,13,23,5,1,5,16,14,38,0,1,.209,.310,.409,.719,0.7
2012,CHW,52,136,19,29,6,0,7,13,12,56,2,1,.213,.296,.412,.708,1.0
2013,CHW,84,256,24,50,11,0,10,24,14,94,0,1,.195,.247,.355,.602,-0.1
2014,CHW,127,407,42,98,16,1,15,50,25,159,0,1,.241,.297,.396,.693,2.3
2015,CHW,112,331,21,79,12,0,9,39,21,104,0,1,.239,.295,.356,.651,0.8
2016,ATL,83,281,27,76,18,0,8,41,29,91,0,0,.270,.357,.420,.777,0.3
2017,ATL,99,317,41,89,16,0,12,49,31,82,0,1,.281,.378,.445,.823,2.2
2018,ATL,12,38,3,11,1,0,1,5,9,9,0,0,.289,.426,.395,.821,0.5
