YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2002,CLE,12,32,2,9,1,0,1,5,3,2,0,0,.281,.333,.406,.739,0.0
2003,CLE,49,159,15,46,4,0,1,16,13,21,1,1,.289,.345,.333,.678,0.3
2004,CLE,141,520,77,147,38,1,23,108,60,69,0,1,.283,.359,.492,.851,3.4
2005,CLE,147,547,73,167,33,0,20,80,63,78,0,1,.305,.378,.475,.853,4.8
2006,CLE,153,572,82,181,37,0,16,93,71,78,0,0,.316,.391,.465,.856,2.5
2007,CLE,147,562,78,169,40,0,25,114,62,76,0,0,.301,.374,.505,.879,4.0
2008,CLE,73,266,30,74,17,0,2,35,24,32,0,0,.278,.337,.365,.702,0.4
2009,BOS,56,211,32,71,12,0,8,41,24,23,1,0,.336,.405,.507,.912,1.2
2009,CLE,99,377,56,107,21,1,15,67,51,51,0,0,.284,.368,.464,.832,2.0
2009,Total,155,588,88,178,33,1,23,108,75,74,1,0,.303,.381,.480,.861,3.2
2010,BOS,127,493,64,149,32,1,20,79,40,52,1,0,.302,.351,.493,.844,3.3
2011,DET,145,540,76,178,40,0,12,103,46,51,1,0,.330,.380,.470,.850,2.9
2013,DET,159,605,68,182,36,0,14,83,54,62,0,2,.301,.355,.430,.785,1.2
2014,DET,151,561,87,188,33,0,32,103,70,42,3,2,.335,.409,.565,.974,5.3
2015,DET,120,440,39,108,20,0,11,64,31,52,0,0,.245,.301,.366,.667,-1.6
2016,DET,154,553,65,160,22,0,27,86,50,90,0,0,.289,.351,.476,.827,1.6
2017,DET,107,392,38,100,16,0,10,47,36,63,0,0,.255,.324,.372,.696,-0.6
2018,DET,44,148,10,36,7,0,4,21,14,17,0,0,.243,.307,.372,.679,-0.4
