SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,TB,6,6,1,1,36.1,33,19,15,2,13,36,2,2,0,0,0,0.2,1.27,3.72
2010,TB,29,29,0,0,168.0,165,77,76,24,62,113,12,10,0,0,0,1.1,1.35,4.07
2011,TB,29,29,1,0,184.0,190,96,91,23,63,105,11,10,0,0,0,-0.7,1.38,4.45
2012,TB,54,0,0,0,70.1,48,20,19,5,29,87,3,0,0,7,1,1.4,1.09,2.43
2013,KC,31,24,0,0,135.1,169,89,80,15,58,114,8,11,0,0,0,-2.1,1.68,5.32
2014,KC,71,0,0,0,72.0,38,8,8,0,23,109,9,2,3,33,3,3.7,0.85,1.00
2015,KC,69,0,0,0,67.1,33,8,7,3,20,78,8,1,17,18,1,3.4,0.79,0.94
2016,KC,45,0,0,0,43.1,33,9,9,0,16,47,2,1,27,0,3,1.8,1.13,1.87
2017,CHC,59,0,0,0,58.2,39,16,15,6,28,79,4,2,32,0,1,1.9,1.14,2.30
2018,COL,21,0,0,0,20.1,12,6,6,2,9,23,0,0,17,0,2,0.8,1.03,2.66
