SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2008,SD,5,4,0,0,21.1,29,19,19,7,15,14,1,3,0,0,0,-0.6,2.06,8.02
2009,SD,9,9,0,0,46.1,35,19,19,6,19,30,3,1,0,0,0,0.7,1.17,3.69
2010,SD,26,25,0,0,146.0,157,69,69,24,51,110,8,12,0,0,0,-0.1,1.42,4.25
2011,SD,14,14,0,0,79.2,84,42,41,7,28,51,5,6,0,0,0,-0.2,1.41,4.63
2012,MIA,25,9,0,0,68.2,71,30,28,7,19,43,2,5,0,1,0,1.1,1.31,3.67
2013,HOU,4,0,0,0,6.1,9,10,5,1,5,2,0,0,0,0,0,-0.4,2.21,7.11
2013,MIA,13,7,0,0,48.2,63,30,28,6,15,31,1,5,0,0,0,-0.4,1.60,5.18
2013,Total,17,7,0,0,55.0,72,40,33,7,20,33,1,5,0,0,0,-0.8,1.67,5.40
2014,LAA,10,3,0,0,28.2,25,11,11,2,6,21,1,1,0,0,0,0.4,1.08,3.45
2014,NYY,1,0,0,0,1.0,2,2,2,0,1,0,0,0,0,0,0,-0.1,3.00,18.00
2014,Total,11,3,0,0,29.2,27,13,13,2,7,21,1,1,0,0,0,0.3,1.15,3.94
2016,SEA,11,8,0,0,50.0,52,27,25,14,9,41,3,0,1,0,0,0.2,1.22,4.50
2016,PIT,8,0,0,0,12.0,7,3,1,0,2,10,1,0,1,1,0,0.4,0.75,0.75
2016,Total,19,8,0,0,62.0,59,30,26,14,11,51,4,0,2,1,0,0.6,1.13,3.77
2017,PIT,50,0,0,0,68.0,64,35,34,10,17,54,5,2,1,4,2,0.2,1.19,4.50
2018,SEA,9,4,0,0,34.0,33,10,10,4,5,27,0,0,0,0,0,0.9,1.12,2.65
