YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2010,CHC,7,20,3,6,4,0,1,5,1,7,0,0,.300,.333,.650,.983,0.2
2011,CHC,4,13,0,2,0,0,0,0,0,4,0,0,.154,.154,.154,.308,-0.1
2012,CHC,52,170,16,45,11,0,5,22,17,51,0,0,.265,.337,.418,.755,1.2
2013,CHC,113,380,41,104,23,0,8,32,34,97,2,0,.274,.349,.397,.746,4.4
2014,CHC,110,380,28,90,19,0,13,46,26,102,0,0,.237,.296,.389,.685,1.8
2015,SEA,6,25,3,4,0,0,0,2,1,5,0,0,.160,.179,.160,.339,-0.3
2015,CHC,24,43,5,7,2,0,2,5,3,12,0,0,.163,.234,.349,.583,0.0
2015,ARI,80,274,34,70,13,1,17,50,21,75,0,0,.255,.317,.496,.813,1.4
2015,Total,110,342,42,81,15,1,19,57,25,92,0,0,.237,.296,.453,.749,1.1
2016,ARI,113,416,41,110,24,0,14,68,33,121,2,0,.264,.322,.423,.745,2.4
2017,BAL,96,341,44,96,11,0,20,53,22,97,0,0,.282,.323,.490,.813,2.1
2018,CHW,33,116,12,31,5,0,6,15,6,33,0,0,.267,.309,.466,.775,0.6
