YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2010,MIN,7,27,2,8,3,0,0,1,0,3,0,0,.296,.321,.407,.728,0.1
2010,WSH,15,52,3,14,4,0,1,4,2,9,0,0,.269,.296,.404,.700,0.2
2010,Total,22,79,5,22,7,0,1,5,2,12,0,0,.278,.305,.405,.710,0.3
2011,WSH,113,389,48,104,22,1,15,52,38,76,0,2,.267,.334,.445,.779,1.5
2012,WSH,25,83,11,22,2,0,3,10,12,19,0,0,.265,.354,.398,.752,0.4
2013,WSH,78,287,29,78,9,0,16,59,15,42,0,1,.272,.307,.470,.777,2.4
2014,WSH,88,341,32,91,12,0,11,47,17,57,0,0,.267,.299,.399,.698,0.9
2015,WSH,128,475,41,109,16,0,15,68,21,101,0,0,.229,.258,.358,.616,0.8
2016,WSH,131,482,58,148,25,0,22,80,35,79,0,0,.307,.354,.496,.850,3.3
2017,TB,64,208,19,54,6,0,11,35,10,36,0,0,.260,.290,.447,.737,0.1
2018,TB,38,143,14,43,5,0,6,24,9,29,0,0,.301,.342,.462,.804,0.7
