YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2004,STL,51,135,12,36,6,0,2,15,13,20,0,1,.267,.329,.356,.685,0.3
2005,STL,114,385,36,97,15,1,8,49,23,30,2,3,.252,.295,.358,.653,1.3
2006,STL,129,417,29,90,26,0,6,49,26,41,1,2,.216,.274,.321,.595,-0.3
2007,STL,111,353,30,97,15,0,6,40,34,43,1,1,.275,.340,.368,.708,1.9
2008,STL,124,444,37,135,18,0,7,56,32,29,0,2,.304,.349,.392,.741,1.2
2009,STL,140,481,45,141,23,1,6,54,50,39,9,3,.293,.366,.383,.749,2.9
2010,STL,136,465,34,122,19,0,6,62,42,51,8,4,.262,.329,.342,.671,2.9
2011,STL,139,475,55,145,32,1,14,65,33,44,4,5,.305,.349,.465,.814,2.6
2012,STL,138,505,65,159,28,0,22,76,45,55,12,3,.315,.373,.501,.874,6.7
2013,STL,136,505,68,161,44,0,12,80,30,55,3,2,.319,.359,.477,.836,5.7
2014,STL,110,404,40,114,21,0,7,38,28,55,1,1,.282,.333,.386,.719,2.4
2015,STL,136,488,34,132,23,2,4,61,32,59,3,1,.270,.310,.350,.660,1.5
2016,STL,147,534,56,164,38,1,8,58,39,63,3,2,.307,.360,.427,.787,2.9
2017,STL,136,501,60,137,27,1,18,82,28,74,9,4,.273,.312,.439,.751,2.0
2018,STL,30,114,11,31,3,0,6,17,4,17,2,1,.272,.292,.456,.748,0.3
