YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2012,OAK,129,487,70,142,25,5,23,82,43,102,16,4,.292,.356,.505,.861,3.4
2013,OAK,135,529,74,127,21,4,26,80,37,137,7,7,.240,.294,.442,.736,1.7
2014,BOS,51,201,27,54,10,3,5,33,7,48,4,0,.269,.296,.423,.719,1.3
2014,OAK,101,399,62,102,26,3,17,67,28,80,3,2,.256,.303,.464,.767,2.8
2014,Total,152,600,89,156,36,6,22,100,35,128,7,2,.260,.301,.450,.751,4.1
2015,DET,102,403,62,118,28,2,18,61,19,87,3,4,.293,.323,.506,.829,4.0
2015,NYM,57,230,39,66,14,4,17,44,14,54,4,1,.287,.337,.604,.941,2.3
2015,Total,159,633,101,184,42,6,35,105,33,141,7,5,.291,.328,.542,.870,6.3
2016,NYM,132,479,72,134,25,1,31,86,51,108,3,1,.280,.354,.530,.884,2.9
2017,NYM,81,291,46,85,17,2,17,42,26,61,0,1,.292,.352,.540,.892,2.1
2018,NYM,37,137,18,35,6,0,8,28,12,50,3,0,.255,.316,.474,.790,0.7
