YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2010,CIN,22,29,2,6,2,0,0,3,0,10,0,0,.207,.207,.276,.483,0.0
2011,CIN,47,88,9,29,4,0,5,15,10,21,0,0,.330,.398,.545,.943,0.2
2012,SD,155,549,47,150,39,0,9,62,62,101,3,0,.273,.348,.393,.741,1.1
2013,SD,97,334,34,94,11,0,6,45,32,47,6,0,.281,.341,.368,.709,1.2
2014,SD,84,267,27,64,19,1,7,27,17,36,6,1,.240,.285,.397,.682,1.3
2015,SD,103,354,50,100,18,1,5,31,42,48,2,5,.282,.361,.381,.742,1.8
2016,OAK,156,482,52,122,34,0,7,56,45,74,3,1,.253,.316,.367,.683,-0.1
2017,OAK,100,319,52,85,17,0,22,49,50,88,1,0,.266,.369,.527,.896,1.5
2017,SEA,42,132,20,35,5,0,6,18,18,30,1,0,.265,.353,.439,.792,0.4
2017,Total,142,451,72,120,22,0,28,67,68,118,2,0,.266,.365,.501,.866,2.0
2018,CLE,47,158,20,36,5,0,9,26,15,36,0,0,.228,.293,.430,.723,0.3
