SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2006,FLA,15,1,0,0,26.1,46,28,28,7,9,20,1,1,0,0,0,-0.8,2.09,9.57
2007,ARI,14,10,0,0,57.0,58,30,29,12,18,40,3,4,0,0,0,0.5,1.33,4.58
2008,ARI,19,8,0,0,56.1,45,29,27,12,14,42,3,5,0,0,0,0.7,1.05,4.31
2009,ARI,23,17,0,0,89.2,102,62,58,19,34,74,3,10,0,0,0,-0.6,1.52,5.82
2012,SF,1,1,0,0,4.2,7,2,2,0,4,1,0,0,0,0,0,0.0,2.36,3.86
2013,SF,8,7,1,1,48.0,46,19,19,4,11,47,4,1,0,0,0,0.5,1.19,3.56
2014,SF,39,12,1,0,117.0,97,51,48,12,22,133,5,5,0,0,0,0.9,1.02,3.69
2015,SF,42,1,0,0,76.0,75,32,31,11,15,59,1,1,1,0,0,0.4,1.18,3.67
2016,WSH,36,1,0,0,62.0,67,33,31,12,15,49,3,5,1,1,1,0.1,1.32,4.50
2017,LAA,60,1,0,0,91.1,69,32,28,9,18,101,5,2,4,14,1,1.6,0.95,2.76
2018,OAK,24,0,0,0,32.0,34,13,12,2,5,23,2,1,0,4,1,0.4,1.22,3.38
