SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2005,PIT,14,14,0,0,84.2,79,20,17,3,23,58,8,2,0,0,0,3.3,1.20,1.81
2006,PIT,34,34,2,1,215.1,255,116,107,17,68,117,10,15,0,0,0,2.5,1.50,4.47
2007,PIT,20,19,0,0,107.1,161,74,66,14,25,41,3,8,0,0,0,-0.7,1.73,5.53
2008,PIT,31,31,1,1,185.0,230,111,99,19,47,87,5,14,0,0,0,0.2,1.50,4.82
2009,PIT,32,32,3,1,213.0,231,101,96,23,49,106,11,16,0,0,0,1.8,1.31,4.06
2010,PIT,29,29,0,0,159.0,212,115,101,25,51,96,8,15,0,0,0,-1.3,1.65,5.72
2011,ARI,21,9,0,0,76.2,101,42,42,6,19,32,3,4,1,0,0,-0.4,1.57,4.93
2012,WSH,8,0,0,0,13.2,11,2,2,0,4,10,1,0,0,0,0,0.4,1.10,1.32
2013,CIN,14,0,0,0,10.2,8,1,1,1,2,7,0,1,0,1,0,0.6,0.94,0.84
2013,WSH,12,1,0,0,20.2,31,22,20,2,8,11,1,1,0,0,0,-0.9,1.89,8.71
2013,Total,26,1,0,0,31.1,39,23,21,3,10,18,1,2,0,1,0,-0.4,1.56,6.03
2014,MIL,74,0,0,0,58.2,49,19,16,3,17,74,5,1,0,12,4,1.2,1.13,2.45
2015,CHW,71,0,0,0,60.2,47,26,23,9,32,66,3,6,1,26,2,0.5,1.30,3.41
2016,CHW,53,0,0,0,37.2,31,11,11,2,16,42,2,0,1,20,3,1.1,1.25,2.63
2016,STL,28,0,0,0,23.1,17,5,5,0,13,26,0,1,1,6,0,0.9,1.29,1.93
2016,Total,81,0,0,0,61.0,48,16,16,2,29,68,2,1,2,26,3,2.0,1.26,2.36
2017,STL,27,0,0,0,18.1,13,8,8,3,6,12,1,1,0,6,0,0.2,1.04,3.93
2018,MIN,21,0,0,0,16.0,16,7,6,0,11,21,2,2,0,7,1,0.1,1.69,3.38
