SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2004,KC,24,24,0,0,145.0,143,64,64,26,26,100,8,11,0,0,0,3.6,1.17,3.97
2005,KC,33,33,2,0,183.0,233,125,118,23,53,114,5,17,0,0,0,0.8,1.56,5.80
2006,KC,3,0,0,0,6.1,7,3,3,1,3,5,1,0,0,0,0,0.0,1.58,4.26
2007,KC,52,14,0,0,122.0,122,52,50,12,36,106,7,7,1,12,0,2.1,1.30,3.69
2008,KC,32,32,1,0,202.1,202,87,78,21,56,183,13,10,0,0,0,5.0,1.28,3.47
2009,KC,33,33,6,3,229.1,195,64,55,11,51,242,16,8,0,0,0,10.1,1.07,2.16
2010,KC,33,33,3,0,220.0,219,114,102,18,55,181,10,14,0,0,0,3.2,1.25,4.17
2011,MIL,28,28,0,0,171.2,161,82,73,19,45,201,16,6,0,0,0,1.4,1.20,3.83
2012,LAA,13,13,0,0,89.1,80,35,35,11,26,78,6,2,0,0,0,1.2,1.19,3.53
2012,MIL,21,21,0,0,123.0,120,49,47,7,28,122,9,3,0,0,0,2.1,1.20,3.44
2012,Total,34,34,0,0,212.1,200,84,82,18,54,200,15,5,0,0,0,3.3,1.20,3.48
2013,LAD,28,28,1,1,177.2,152,54,52,13,46,148,15,4,0,0,0,3.9,1.11,2.63
2014,LAD,32,32,0,0,202.1,190,69,61,19,43,207,17,8,0,0,0,4.3,1.15,2.71
2015,LAD,32,32,1,0,222.2,148,43,41,14,40,200,19,3,0,0,0,9.3,0.84,1.66
2016,ARI,26,26,1,1,158.2,161,80,77,23,41,134,13,7,0,0,0,2.3,1.27,4.37
2017,ARI,32,32,1,0,202.1,172,80,72,25,45,215,17,7,0,0,0,6.0,1.07,3.20
2018,ARI,10,10,0,0,60.2,53,25,25,10,7,67,3,3,0,0,0,0.9,0.99,3.71
