rank,Name,Team,POS,Salary,Years,Total_Value,Avg_Annual,Contract_Length,Years_Active,Years_Signed,int_value,int_annual,int_salary
--,Mike Trout,LAA,OF,"$34,083,333",6 (2015-20),"$144,500,000","$24,083,333",6,2015-20,2015,144500000,24083333,34083333
--,Clayton Kershaw,LAD,SP,"$34,000,000",7 (2014-20),"$215,000,000","$30,714,286",7,2014-20,2014,215000000,30714286,34000000
--,Zack Greinke,ARI,SP,"$31,954,483",6 (2016-21),"$206,500,000","$34,416,667",6,2016-21,2016,206500000,34416667,31954483
--,Jake Arrieta,PHI,SP,"$30,000,000",3 (2018-20),"$75,000,000","$25,000,000",3,2018-20,2018,75000000,25000000,30000000
--,David Price,BOS,SP,"$30,000,000",7 (2016-22),"$217,000,000","$31,000,000",7,2016-22,2016,217000000,31000000,30000000
--,Miguel Cabrera,DET,1B,"$30,000,000",10 (2014-23),"$292,000,000","$29,200,000",10,2014-23,2014,292000000,29200000,30000000
--,Yoenis Cespedes,NYM,OF,"$29,000,000",4 (2017-20),"$110,000,000","$27,500,000",4,2017-20,2017,110000000,27500000,29000000
--,Justin Verlander,HOU,SP,"$28,000,000",7 (2013-19),"$180,000,000","$25,714,286",7,2013-19,2013,180000000,25714286,28000000
--,Jon Lester,CHC,SP,"$27,500,000",6 (2015-20),"$155,000,000","$25,833,333",6,2015-20,2015,155000000,25833333,27500000
--,Albert Pujols,LAA,1B,"$27,000,000",10 (2012-21),"$240,000,000","$24,000,000",10,2012-21,2012,240000000,24000000,27000000
--,Felix Hernandez,SEA,SP,"$26,857,143",7 (2013-19),"$175,000,000","$25,000,000",7,2013-19,2013,175000000,25000000,26857143
--,Jason Heyward,CHC,OF,"$26,055,288",8 (2016-23),"$184,000,000","$23,000,000",8,2016-23,2016,184000000,23000000,26055288
--,Yu Darvish,CHC,SP,"$25,000,000",6 (2018-23),"$126,000,000","$21,000,000",6,2018-23,2018,126000000,21000000,25000000
--,Joey Votto,CIN,1B,"$25,000,000",10 (2014-23),"$225,000,000","$22,500,000",10,2014-23,2014,225000000,22500000,25000000
--,Giancarlo Stanton,NYY,OF,"$25,000,000",13 (2015-27),"$325,000,000","$25,000,000",13,2015-27,2015,325000000,25000000,25000000
--,Robinson Cano,SEA,2B,"$24,000,000",10 (2014-23),"$240,000,000","$24,000,000",10,2014-23,2014,240000000,24000000,24000000
--,Jordan Zimmermann,DET,SP,"$24,000,000",5 (2016-20),"$110,000,000","$22,000,000",5,2016-20,2016,110000000,22000000,24000000
--,J.D. Martinez,BOS,OF,"$23,750,000",5 (2018-22),"$110,000,000","$22,000,000",5,2018-22,2018,110000000,22000000,23750000
--,Josh Donaldson,TOR,3B,"$23,000,000",1 (2018),"$23,000,000","$23,000,000",1,2018,2018,23000000,23000000,23000000
--,Joe Mauer,MIN,1B,"$23,000,000",8 (2011-18),"$184,000,000","$23,000,000",8,2011-18,2011,184000000,23000000,23000000
--,Hanley Ramirez,BOS,1B,"$22,750,000",4 (2015-18),"$88,000,000","$22,000,000",4,2015-18,2015,88000000,22000000,22750000
--,Johnny Cueto,SF,SP,"$22,666,666",6 (2016-21),"$130,000,000","$21,666,667",6,2016-21,2016,130000000,21666667,22666666
--,Cole Hamels,TEX,SP,"$22,500,000",6 (2013-18),"$144,000,000","$24,000,000",6,2013-18,2013,144000000,24000000,22500000
--,Adrian Gonzalez,NYM,1B,"$22,357,142",7 (2012-18),"$154,000,000","$22,000,000",7,2012-18,2012,154000000,22000000,22357142
--,Buster Posey,SF,C,"$22,177,778",9 (2013-21),"$167,000,000","$18,555,556",9,2013-21,2013,167000000,18555556,22177778
--,Max Scherzer,WSH,SP,"$22,142,857",7 (2015-21),"$210,000,000","$30,000,000",7,2015-21,2015,210000000,30000000,22142857
--,Yadier Molina,STL,C,"$22,000,000",3 (2018-20),"$62,000,000","$20,666,667",3,2018-20,2018,62000000,20666667,22000000
--,Ian Desmond,COL,1B,"$22,000,000",5 (2017-21),"$70,000,000","$14,000,000",5,2017-21,2017,70000000,14000000,22000000
--,Masahiro Tanaka,NYY,SP,"$22,000,000",7 (2014-20),"$155,000,000","$22,142,857",7,2014-20,2014,155000000,22142857,22000000
--,Jacoby Ellsbury,NYY,OF,"$21,857,142",7 (2014-20),"$153,000,000","$21,857,143",7,2014-20,2014,153000000,21857143,21857142
--,Bryce Harper,WSH,OF,"$21,625,000",1 (2018),"$21,625,000","$21,625,000",1,2018,2018,21625000,21625000,21625000
--,Eric Hosmer,SD,1B,"$21,625,000",8 (2018-25),"$144,000,000","$18,000,000",8,2018-25,2018,144000000,18000000,21625000
--,Matt Kemp,LAD,OF,"$21,500,000",8 (2012-19),"$160,000,000","$20,000,000",8,2012-19,2012,160000000,20000000,21500000
--,Freddie Freeman,ATL,1B,"$21,359,375",8 (2014-21),"$135,000,000","$16,875,000",8,2014-21,2014,135000000,16875000,21359375
--,James Shields,CWS,SP,"$21,250,000",4 (2015-18),"$75,000,000","$18,750,000",4,2015-18,2015,75000000,18750000,21250000
--,Chris Davis,BAL,1B,"$21,169,326",7 (2016-22),"$161,000,000","$23,000,000",7,2016-22,2016,161000000,23000000,21169326
--,Rick Porcello,BOS,SP,"$21,125,000",4 (2016-19),"$82,500,000","$20,625,000",4,2016-19,2016,82500000,20625000,21125000
--,Homer Bailey,CIN,SP,"$21,000,000",6 (2014-19),"$105,000,000","$17,500,000",6,2014-19,2014,105000000,17500000,21000000
--,Alex Gordon,KC,OF,"$21,000,000",4 (2016-19),"$72,000,000","$18,000,000",4,2016-19,2016,72000000,18000000,21000000
--,Russell Martin,TOR,C,"$20,000,000",5 (2015-19),"$82,000,000","$16,400,000",5,2015-19,2015,82000000,16400000,20000000
--,Troy Tulowitzki,TOR,SS,"$20,000,000",10 (2011-20),"$157,750,000","$15,775,000",10,2011-20,2011,157750000,15775000,20000000
--,Shin-Soo Choo,TEX,OF,"$20,000,000",7 (2014-20),"$130,000,000","$18,571,429",7,2014-20,2014,130000000,18571429,20000000
--,Jeff Samardzija,SF,SP,"$19,800,000",5 (2016-20),"$90,000,000","$18,000,000",5,2016-20,2016,90000000,18000000,19800000
--,Pablo Sandoval,SF,3B,"$19,600,000",1 (2018),"$19,600,000","$19,600,000",1,2018,2018,19600000,19600000,19600000
--,Adam Wainwright,STL,SP,"$19,500,000",5 (2014-18),"$97,500,000","$19,500,000",5,2014-18,2014,97500000,19500000,19500000
--,David Wright,NYM,3B,"$19,399,744",8 (2013-20),"$138,000,000","$17,250,000",8,2013-20,2013,138000000,17250000,19399744
