,POS,IP,SO,ERA,Avg Annual
0,1.0,74.14,60.8,5.32,5500000.0
2,0.0,38.39,45.86,4.3,2200000.0
4,0.0,45.12,51.0,3.8,1500000.0
5,0.0,35.59,22.29,9.57,1000000.0
6,0.0,41.62,58.25,3.98,3650000.0
11,0.0,39.36,48.25,3.44,2712500.0
12,0.0,53.54,42.6,3.61,1600000.0
16,0.0,37.59,24.7,3.96,5000000.0
20,1.0,83.1,61.8,5.77,2000000.0
22,0.0,37.59,24.7,3.96,5000000.0
28,1.0,196.43,201.0,2.77,30714286.0
31,0.0,59.21,59.43,4.4,7937500.0
35,0.0,38.27,49.5,3.29,1850000.0
37,0.0,44.76,41.17,3.31,15500000.0
39,0.0,46.47,47.67,3.51,7925000.0
40,0.0,48.85,57.5,2.34,582500.0
49,0.0,69.17,60.5,2.87,7333333.0
50,1.0,122.14,118.4,3.85,5625000.0
52,0.0,48.44,50.18,3.27,8375000.0
55,0.0,37.08,42.5,3.19,805000.0
58,0.0,39.36,48.25,3.44,2712500.0
60,0.0,46.76,34.47,6.13,5000000.0
61,1.0,127.56,118.6,4.35,5600000.0
63,0.0,73.3,67.67,5.07,3000000.0
68,1.0,112.33,114.56,4.51,4000000.0
69,0.0,62.08,80.67,2.78,10575000.0
72,1.0,188.08,150.7,4.29,13750000.0
73,0.0,48.85,57.5,2.34,582500.0
75,0.0,92.63,85.33,2.9,17333333.0
78,1.0,105.98,80.22,4.64,8666667.0
85,1.0,46.74,33.88,5.29,1900000.0
87,0.0,50.24,50.6,3.83,1200000.0
97,0.0,43.98,51.83,3.84,1100000.0
103,0.0,44.37,44.0,4.17,6060000.0
105,0.0,81.91,62.0,3.96,3825000.0
108,1.0,102.68,93.6,3.7,4825000.0
110,0.0,42.05,45.25,inf,2666667.0
111,1.0,56.6,33.17,5.62,1090000.0
117,0.0,35.75,38.75,4.78,2500000.0
123,0.0,50.86,50.8,3.85,3466667.0
124,1.0,202.25,185.88,3.23,25000000.0
128,0.0,43.75,43.75,4.47,1450000.0
131,0.0,40.39,46.14,3.3,5000000.0
135,0.0,50.45,59.5,3.32,9225000.0
138,0.0,63.75,49.3,3.9,7000000.0
140,0.0,58.11,90.29,2.11,16000000.0
143,0.0,63.53,56.86,3.08,9000000.0
145,0.0,50.14,30.8,4.83,850000.0
146,0.0,43.98,51.83,3.84,1100000.0
148,0.0,39.72,35.31,4.27,1250000.0
157,1.0,90.21,71.5,4.28,4200000.0
158,0.0,75.03,76.91,3.8,10500000.0
159,0.0,46.68,49.42,2.85,8333333.0
161,0.0,58.99,39.06,4.59,9000000.0
163,1.0,40.38,33.0,5.59,800000.0
164,1.0,102.62,64.75,4.05,2360000.0
166,0.0,35.24,34.38,3.9,5500000.0
169,0.0,56.8,50.57,5.54,2950000.0
174,0.0,39.06,43.12,5.16,1050000.0
175,0.0,63.53,56.86,3.08,9000000.0
178,1.0,133.17,117.0,3.55,6500000.0
184,1.0,83.1,61.8,5.77,2000000.0
191,0.0,44.1,47.75,3.94,2300000.0
192,0.0,47.97,46.75,3.88,1500000.0
193,0.0,63.66,49.0,4.2,1500000.0
194,1.0,128.89,103.77,4.55,8000000.0
196,0.0,69.17,60.5,2.87,7333333.0
199,1.0,128.6,118.45,3.91,14000000.0
202,0.0,59.08,60.6,3.33,4250000.0
203,0.0,59.42,59.8,3.84,2500000.0
204,1.0,100.54,81.75,4.02,10000000.0
210,1.0,108.84,98.78,3.99,9250000.0
213,0.0,72.17,65.75,4.79,1950000.0
214,0.0,66.32,67.44,3.04,5500000.0
216,0.0,59.08,60.6,3.33,4250000.0
220,1.0,145.27,175.71,3.5,21000000.0
222,1.0,112.43,68.33,4.52,6000000.0
226,0.0,16.0,18.44,4.52,720000.0
245,1.0,128.89,103.77,4.55,8000000.0
249,0.0,9.98,12.83,4.17,610000.0
255,0.0,52.23,84.0,4.4,5100000.0
256,0.0,50.0,48.7,2.35,7750000.0
262,1.0,102.62,64.75,4.05,2360000.0
263,1.0,,,,6000000.0
265,1.0,117.28,107.17,4.03,6300000.0
266,1.0,117.42,137.2,3.79,5000000.0
269,1.0,62.9,53.8,4.79,1875000.0
271,0.0,45.74,51.33,2.88,2500000.0
273,1.0,56.6,33.17,5.62,1090000.0
274,0.0,16.0,18.44,4.52,720000.0
275,1.0,99.82,65.31,4.52,3000000.0
280,0.0,39.5,34.4,4.56,1200000.0
284,0.0,46.82,42.5,3.58,1812500.0
286,0.0,65.75,65.33,3.79,2440000.0
289,1.0,117.42,137.2,3.79,5000000.0
294,0.0,40.39,46.14,3.3,5000000.0
296,0.0,46.76,34.47,6.13,5000000.0
301,1.0,62.9,53.8,4.79,1875000.0
304,1.0,128.89,103.77,4.55,8000000.0
306,0.0,81.65,73.12,3.99,7625000.0
307,0.0,32.08,32.0,6.76,2170000.0
309,0.0,53.25,56.25,2.99,1500000.0
310,0.0,50.26,53.91,4.38,9000000.0
311,1.0,112.33,114.56,4.51,4000000.0
312,0.0,40.58,39.25,4.22,1195000.0
313,1.0,116.58,78.25,4.87,8000000.0
315,1.0,124.29,99.33,4.42,1500000.0
316,0.0,42.13,53.17,3.24,1312500.0
317,0.0,51.66,34.0,3.29,1925000.0
321,1.0,117.42,137.2,3.79,5000000.0
322,0.0,35.24,34.38,3.9,5500000.0
325,1.0,99.82,65.31,4.52,3000000.0
332,0.0,96.4,80.81,5.29,2250000.0
335,1.0,155.99,129.0,3.61,22000000.0
342,0.0,35.27,27.36,3.26,575000.0
344,0.0,43.7,23.0,5.04,547000.0
346,0.0,45.12,51.0,3.8,1500000.0
347,0.0,31.58,27.75,7.57,554800.0
349,1.0,102.22,80.6,4.01,8000000.0
353,1.0,145.27,175.71,3.5,21000000.0
357,1.0,167.42,164.67,2.9,12000000.0
361,0.0,71.37,58.86,3.09,12000000.0
367,0.0,39.06,43.12,5.16,1050000.0
373,0.0,58.59,96.5,1.72,13900000.0
378,0.0,52.28,33.83,3.44,1250000.0
382,0.0,50.24,50.6,3.83,1200000.0
383,0.0,42.48,38.77,4.49,5500000.0
385,1.0,116.58,78.25,4.87,8000000.0
387,0.0,56.06,60.29,3.32,5165000.0
395,1.0,102.66,91.4,3.18,4125000.0
398,0.0,39.35,34.25,3.38,2450000.0
401,0.0,21.62,27.75,0.92,850000.0
404,0.0,35.59,22.29,9.57,1000000.0
408,1.0,95.38,86.25,5.03,2200000.0
409,1.0,107.75,73.0,4.4,12666667.0
413,0.0,46.82,42.5,3.58,1812500.0
416,1.0,135.72,137.4,3.84,5000000.0
419,0.0,59.08,60.6,3.33,4250000.0
420,0.0,55.84,49.56,6.63,1000000.0
425,0.0,81.65,73.12,3.99,7625000.0
432,1.0,170.05,182.75,2.95,7400000.0
433,0.0,56.8,50.57,5.54,2950000.0
434,0.0,50.45,59.5,3.32,9225000.0
437,1.0,145.88,101.2,5.0,4200000.0
441,0.0,35.59,22.29,9.57,1000000.0
445,1.0,155.99,129.0,3.61,22000000.0
449,0.0,40.17,29.25,2.77,568450.0
451,1.0,167.42,164.67,2.9,12000000.0
452,0.0,46.68,48.8,3.91,2500000.0
461,1.0,117.42,137.2,3.79,5000000.0
463,1.0,,,,22142857.0
464,0.0,50.24,50.6,3.83,1200000.0
468,0.0,51.66,56.0,3.52,6000000.0
472,0.0,49.38,44.75,4.57,690000.0
477,0.0,40.58,39.25,4.22,1195000.0
488,1.0,139.65,117.25,3.86,5875000.0
495,0.0,84.73,75.75,6.55,5000000.0
498,0.0,35.27,27.36,3.26,575000.0
501,1.0,122.14,118.4,3.85,5625000.0
506,0.0,35.24,34.38,3.9,5500000.0
508,1.0,83.1,61.8,5.77,2000000.0
509,1.0,108.84,98.78,3.99,9250000.0
510,0.0,32.08,32.0,6.76,2170000.0
513,0.0,54.44,53.25,4.84,1250000.0
514,1.0,145.88,101.2,5.0,4200000.0
518,0.0,59.08,60.6,3.33,4250000.0
519,0.0,62.08,80.67,2.78,10575000.0
520,1.0,56.6,33.17,5.62,1090000.0
521,1.0,133.17,117.0,3.55,6500000.0
523,0.0,35.27,27.36,3.26,575000.0
524,1.0,102.62,64.75,4.05,2360000.0
528,1.0,40.38,33.0,5.59,800000.0
529,0.0,49.65,50.32,3.82,4500000.0
531,0.0,45.74,51.33,2.88,2500000.0
532,0.0,71.37,58.86,3.09,12000000.0
533,0.0,62.67,56.6,4.63,5000000.0
537,1.0,142.8,97.82,3.58,4000000.0
542,0.0,46.82,42.5,3.58,1812500.0
544,0.0,37.59,24.7,3.96,5000000.0
554,1.0,176.38,136.75,3.74,16000000.0
558,0.0,65.75,65.33,3.79,2440000.0
559,1.0,177.67,114.86,4.41,20625000.0
562,0.0,39.35,34.25,3.38,2450000.0
565,0.0,84.73,75.75,6.55,5000000.0
570,0.0,46.82,42.5,3.58,1812500.0
571,0.0,107.21,91.89,3.82,2000000.0
584,0.0,50.14,30.8,4.83,850000.0
586,0.0,33.65,36.5,3.64,565000.0
589,1.0,164.02,160.0,4.09,12000000.0
592,0.0,46.47,47.67,3.51,7925000.0
594,1.0,47.88,43.5,3.35,577500.0
599,1.0,177.67,114.86,4.41,20625000.0
