WAR,Avg Annual
0.04,558000.0
0.75,1100000.0
0.3,2170000.0
0.9,9000000.0
1.32,16000000.0
3.19,16400000.0
4.18,25000000.0
1.51,13000000.0
2.29,18571429.0
0.98,2000000.0
0.24,2500000.0
0.58,1312500.0
0.58,9000000.0
0.72,3825000.0
0.85,2375000.0
1.18,12295756.0
2.2,5918483.0
2.12,2900000.0
0.68,3375000.0
2.8,5000000.0
0.04,558000.0
1.16,3500000.0
4.33,21625000.0
2.6,8571429.0
0.9,1250000.0
1.0,1250000.0
0.92,7500000.0
1.62,5600000.0
1.42,3750000.0
0.01,1000000.0
-0.23,1090000.0
1.03,5400000.0
2.0,2700000.0
1.32,16000000.0
1.46,5700000.0
2.23,13900000.0
3.36,12300000.0
0.25,3000000.0
1.36,19600000.0
2.75,13200000.0
0.76,2900000.0
1.22,4125000.0
1.01,5750000.0
1.76,5950000.0
0.15,1950000.0
0.42,1100000.0
0.66,4000000.0
1.11,1750000.0
1.55,7750000.0
3.27,4175000.0
2.17,14000000.0
-0.49,2950000.0
2.07,13000000.0
0.82,16000000.0
4.34,17250000.0
0.65,577500.0
0.85,10500000.0
,3333333.0
0.44,2450000.0
1.19,17333333.0
0.62,1375000.0
1.9,5000000.0
2.5,7081429.0
0.11,9000000.0
4.71,24000000.0
3.28,14000000.0
1.0,7000000.0
1.94,18000000.0
1.16,13000000.0
1.9,5000000.0
1.93,570100.0
0.16,1000000.0
3.27,4175000.0
1.28,4500000.0
2.04,8500000.0
2.0,4700000.0
0.6,3000000.0
0.82,1925000.0
-0.04,1000000.0
1.85,3833333.0
0.78,575000.0
0.58,6000000.0
0.58,9000000.0
0.68,3375000.0
1.55,8166667.0
2.14,14000000.0
0.88,1000000.0
1.98,8250000.0
1.49,11500000.0
0.92,7500000.0
3.78,1000000.0
0.48,1600000.0
1.03,15500000.0
4.64,13750000.0
1.52,5125000.0
0.44,3400000.0
0.24,5500000.0
0.59,2250000.0
0.89,7500000.0
-0.49,2950000.0
0.44,3400000.0
1.82,7900000.0
0.65,2150000.0
0.94,8000000.0
0.48,6825000.0
1.89,14250000.0
0.34,6333333.0
0.42,1850000.0
0.0,1062500.0
2.2,16875000.0
0.69,3315000.0
0.84,1500000.0
2.14,14000000.0
0.85,10500000.0
6.03,10500000.0
0.04,558000.0
3.08,750000.0
1.9,6000000.0
1.12,582500.0
2.13,4000000.0
3.34,21000000.0
0.67,2250000.0
-0.02,2150000.0
1.18,8000000.0
1.0,3650000.0
0.55,805000.0
3.19,16400000.0
5.34,23000000.0
0.78,575000.0
1.62,4600000.0
0.74,1000000.0
0.34,6333333.0
2.43,20666667.0
4.18,25000000.0
-0.16,7000000.0
,22142857.0
4.75,8285714.0
1.1,6275000.0
0.46,2000000.0
0.76,2900000.0
2.12,2900000.0
0.94,8000000.0
0.24,2500000.0
0.11,9000000.0
