WAR,Avg Annual
7.1,24083333
5.28,30714286
4.69,29200000
4.26,25714286
7.63,24000000
3.94,25000000
5.12,23000000
4.66,22500000
4.18,25000000
4.71,24000000
2.8,22000000
5.34,23000000
4.5,23000000
3.91,24000000
3.11,22000000
3.03,18555556
3.31,30000000
2.43,20666667
2.17,14000000
2.89,21857143
4.33,21625000
1.94,18000000
2.65,20000000
2.2,16875000
2.71,18750000
1.49,20625000
0.8,17500000
3.4,18000000
3.19,16400000
3.9,15775000
3.15,19500000
4.34,17250000
1.8,11538462
3.22,14285714
3.0,20000000
4.52,18000000
5.05,14750000
1.7,12500000
1.89,14250000
2.83,14560000
2.44,17000000
1.96,16500000
2.44,25000000
1.19,17333333
4.62,16000000
4.64,13750000
2.82,15000000
2.8,12500000
4.37,14750000
5.03,16666667
3.61,16666667
1.47,14250000
2.47,8666667
3.45,16000000
1.77,14250000
2.14,14000000
1.72,13000000
2.23,13900000
3.57,8750000
1.48,13750000
2.75,13200000
1.23,11600000
1.16,13000000
4.2,13000000
1.49,11500000
2.27,12666667
1.53,12666667
4.6,12500000
3.36,12300000
3.95,12000000
3.02,12000000
2.02,12000000
2.57,12000000
1.5,12000000
2.43,12000000
3.2,13000000
2.3,10200000
3.47,6400000
4.75,8285714
4.45,11000000
2.62,11000000
1.28,10000000
2.6,8571429
6.6,10850000
1.67,16000000
2.02,7700000
1.45,10575000
1.9,10500000
0.85,10500000
1.62,10500000
0.93,10333333
1.7,6825000
6.03,10500000
2.47,16000000
2.2,5918483
4.21,23357143
2.74,9000000
1.77,9000000
3.17,5000000
3.85,4200000
2.18,8666667
0.62,5500000
2.8,9083333
2.04,8500000
2.04,8500000
1.03,9333333
0.92,7500000
1.97,8250000
1.03,5400000
3.25,5166667
0.9,9000000
1.55,8166667
1.2,7937500
0.93,7925000
1.82,7900000
0.83,7625000
3.02,7750000
1.0,7333333
0.93,9000000
-0.23,7750000
1.36,7500000
3.98,7400000
0.34,6333333
1.03,7300000
0.9,5857143
2.2,7050000
-0.16,7000000
2.5,7081429
0.56,6060000
1.18,8000000
0.52,7000000
0.94,3466667
0.48,6825000
2.28,6750000
1.25,6750000
1.5,6700000
1.43,6525000
2.62,6500000
4.6,4710739
0.78,6500000
1.56,6500000
0.62,6500000
2.92,6475000
1.0,4250000
2.0,4700000
1.33,6300000
2.12,6100000
4.15,9000000
0.22,6050000
1.85,3833333
0.59,6000000
1.23,6000000
1.24,6000000
0.61,5500000
1.02,6000000
1.76,5950000
1.01,5750000
1.46,5700000
1.62,5600000
1.27,5587500
0.76,5500000
0.2,5000000
1.73,5300000
1.42,5300000
0.89,5165000
1.52,5125000
1.24,5100000
1.65,5100000
1.7,5875000
1.9,5000000
2.32,5000000
1.47,4900000
1.6,4900000
1.04,4825000
0.0,4750000
4.27,6105000
1.37,7000000
1.35,13833333
1.4,4600000
1.62,4600000
1.39,5500000
1.28,4500000
0.95,2100000
1.1,4000000
0.69,6583333
1.42,4275000
1.37,5100000
1.04,4200000
3.27,4175000
1.22,4125000
0.8,4250000
0.33,5000000
0.8,4000000
1.31,4250000
1.65,3950000
0.85,2666667
0.7,3900000
1.89,3750000
1.06,3700000
1.0,3650000
4.0,6100000
0.81,3500000
0.42,3475000
1.72,3450000
0.44,3400000
0.74,3400000
0.97,3400000
0.1,3400000
1.47,8250000
2.12,3300000
2.42,3250000
3.37,3200000
1.58,3125000
1.22,3000000
1.61,3000000
1.04,2975000
2.67,2975000
0.57,2950000
1.6,9428571
0.76,2900000
2.12,2900000
2.8,565000
2.8,565000
1.16,2825000
0.96,2500000
0.75,2750000
2.0,2700000
1.78,2600000
1.3,2600000
1.08,2550000
0.21,2500000
0.98,2500000
0.44,2450000
0.58,2440000
0.8,2400000
1.6,2375000
0.85,2375000
1.67,2360000
0.97,2350000
0.7,2300000
1.43,2300000
0.31,2250000
0.59,2250000
1.02,2100000
0.88,2225000
0.3,2200000
0.67,2250000
0.84,2050000
1.4,2000000
1.35,2000000
0.07,2000000
0.09,2000000
0.66,2000000
1.7,5000000
0.46,2000000
0.55,1950000
0.15,1950000
0.82,1925000
0.18,1875000
0.42,1850000
0.67,1812500
-0.2,2000000
0.95,1750000
0.65,1700000
0.33,1675000
1.5,1640000
0.97,2250000
1.23,4800000
0.48,1600000
1.12,1550000
1.9,5583333
2.7,4333333
0.55,1500000
0.89,1500000
0.54,1500000
2.0,1450000
0.63,1450000
0.62,1375000
0.27,1312500
0.75,1287500
0.73,1275000
1.0,1250000
0.36,1200000
0.52,1200000
0.87,1200000
0.6,1195000
1.0,1180000
0.9,1250000
0.9,1113000
-0.03,1100000
0.75,1100000
0.42,1100000
-0.3,1090000
0.3,1090000
0.1,1090000
0.6,1090000
0.48,1075000
0.14,1050000
0.13,1050000
5.47,1000000
1.19,1000000
0.74,1000000
1.91,1000000
0.16,1000000
2.8,4166667
0.28,950000
0.12,925000
0.34,905000
1.0,900000
0.15,870000
1.3,860000
-0.2,850000
-0.16,850000
0.75,850000
0.0,820000
0.55,805000
0.28,800000
0.03,800000
0.8,782000
0.28,750000
0.28,690000
1.45,657000
0.05,650000
0.03,650000
-0.2,650000
0.07,650000
1.28,645000
0.27,630000
5.27,623200
3.85,622300
0.47,621900
1.6,620500
2.37,620400
0.43,615500
2.03,605094
4.5,605000
0.2,605000
2.3,604975
0.57,604500
2.85,604500
1.67,602500
1.8,602500
0.43,600000
-0.02,600000
2.3,599200
2.95,599000
1.47,587500
4.2,585000
-0.2,585000
0.85,584500
1.12,582500
0.45,582000
1.43,581900
0.3,581500
2.9,580450
-0.0,580000
0.7,580000
2.4,580000
1.5,579200
2.17,577200
1.27,577000
-0.27,575500
4.25,575200
-0.2,575000
0.17,575000
0.2,575000
0.52,575000
0.07,575000
0.78,575000
0.53,574700
0.45,574000
0.05,573500
-0.13,573500
2.13,573000
0.6,572500
1.93,572000
1.15,571000
1.95,571000
0.35,571000
1.15,570800
1.45,570800
-0.3,570750
1.35,570500
-0.15,570500
1.93,570100
1.8,570000
-0.27,570000
-0.27,570000
0.77,569600
0.7,569500
2.75,569500
0.97,568500
1.1,568450
2.03,568000
1.3,567900
0.05,567700
2.47,567400
0.37,567000
-0.5,566800
-0.5,566800
1.63,566500
0.35,565900
0.3,565000
-0.4,565000
1.1,565000
0.85,565000
0.5,564800
1.3,564500
1.35,564000
0.25,563560
0.2,563500
0.45,562375
0.5,561900
0.75,561600
0.03,561500
0.4,561500
1.03,561500
0.8,561000
0.75,560400
0.23,560400
0.3,560300
1.55,560200
0.65,560100
0.7,560000
-0.03,560000
0.2,560000
1.1,560000
-0.1,560000
0.75,560000
1.2,559600
1.6,559200
-0.4,559200
0.13,559000
0.77,559000
-0.1,559000
0.45,558900
-0.15,558600
1.75,558500
0.0,558400
0.57,558400
0.9,558200
-0.1,558025
0.04,558000
-0.17,558000
0.6,558000
0.1,558000
0.67,557900
0.3,557500
0.25,557500
0.5,557471
0.12,557100
0.1,557000
-0.25,557000
1.55,556900
1.1,556500
1.9,556500
1.25,556500
0.2,556500
-0.9,556500
0.05,556400
0.25,556200
0.95,556000
0.5,555968
1.15,555950
0.6,555700
0.57,555000
0.3,555000
1.1,555000
0.2,555000
1.4,555000
1.4,555000
0.0,555000
0.83,555000
0.55,555000
0.83,555000
-0.2,555000
0.1,555000
0.07,555000
2.5,555000
1.9,555000
0.07,555000
2.85,555000
2.4,555000
0.8,555000
0.5,555000
-0.05,555000
0.75,555000
-0.43,554800
0.2,554600
1.3,554250
0.45,554000
-0.05,554000
-0.0,553900
0.1,553900
0.25,553850
0.6,553800
-0.07,553600
0.2,553250
0.07,553100
0.1,553000
1.35,553000
1.1,553000
-0.07,552800
0.5,552700
0.65,552500
2.0,552500
-0.7,552450
0.55,552300
0.23,552000
0.7,552000
0.2,552000
-0.9,552000
0.1,552000
-0.15,551700
0.5,551600
0.12,551400
-0.03,551300
-0.5,551300
1.5,551200
0.7,551000
-0.3,551000
0.05,550800
0.17,550700
0.05,550400
-0.9,550200
0.1,550100
0.5,550100
0.1,550100
0.2,550000
0.25,550000
0.35,550000
0.15,550000
2.2,550000
0.35,550000
1.2,550000
-0.05,550000
2.1,550000
0.1,550000
1.65,550000
3.3,550000
0.2,550000
0.35,550000
0.25,549900
0.3,549800
-0.05,549400
0.15,549000
0.15,549000
0.2,549000
0.2,548940
0.0,548600
-0.7,548500
0.6,548500
0.37,548300
0.6,548300
0.6,548300
0.3,548100
0.5,548000
1.1,548000
0.0,548000
0.1,547990
0.15,547800
0.0,547600
-0.4,547500
0.35,547500
0.7,547500
3.6,547500
1.35,547500
1.6,547500
0.1,547500
-0.1,547500
-1.6,547500
-0.2,547500
-0.75,547500
0.1,547500
-1.1,547200
0.3,547000
0.12,547000
0.7,547000
-0.1,547000
-0.3,547000
-0.1,547000
0.4,546900
0.25,546900
-1.2,546800
-0.6,546625
0.0,546500
0.4,546500
0.2,546500
0.1,546400
0.0,546000
-0.1,546000
0.55,545800
-0.4,545700
0.2,545700
-0.3,545650
2.2,545600
-0.4,545600
0.2,545500
0.9,545500
0.4,545500
0.1,545400
-0.6,545000
-0.3,545000
-0.5,545000
-0.1,545000
0.9,545000
-0.1,545000
-0.2,545000
0.1,545000
0.7,545000
-0.4,545000
0.0,545000
-0.9,545000
0.2,545000
0.5,545000
0.1,545000
0.1,545000
-0.9,545000
0.4,545000
0.6,545000
