WAR,Avg Annual
10.7,24083333
7.9,30714286
7.3,29200000
8.3,25714286
9.4,24000000
6.8,25000000
6.5,23000000
6.7,22500000
6.5,25000000
8.2,24000000
4.9,22000000
8.8,23000000
7.6,23000000
6.2,24000000
6.7,22000000
7.2,18555556
6.7,30000000
6.7,20666667
3.8,14000000
8.0,21857143
9.9,21625000
4.0,18000000
7.8,20000000
5.5,16875000
5.2,18750000
4.0,20625000
3.2,17500000
7.1,18000000
5.5,16400000
6.5,15775000
6.2,19500000
8.1,17250000
1.8,11538462
5.8,14285714
4.4,20000000
9.3,18000000
6.5,14750000
2.9,12500000
3.4,14250000
4.4,14560000
5.3,17000000
4.3,16500000
3.5,25000000
3.7,17333333
7.1,16000000
7.8,13750000
4.3,15000000
5.6,12500000
8.2,14750000
7.8,16666667
7.1,16666667
4.7,14250000
6.6,8666667
7.2,16000000
4.0,14250000
6.0,14000000
4.2,13000000
3.6,13900000
5.9,8750000
4.8,13750000
7.2,13200000
4.3,11600000
3.6,13000000
5.5,13000000
3.8,11500000
4.9,12666667
3.6,12666667
6.9,12500000
6.5,12300000
5.0,12000000
5.0,12000000
7.0,12000000
6.6,12000000
4.3,12000000
3.7,12000000
7.0,13000000
5.4,10200000
7.0,6400000
6.7,8285714
7.1,11000000
7.1,11000000
4.9,10000000
3.4,8571429
7.7,10850000
2.6,16000000
7.4,7700000
2.1,10575000
2.8,10500000
3.2,10500000
4.8,10500000
3.1,10333333
5.3,6825000
9.6,10500000
3.8,16000000
2.2,5918483
8.3,23357143
5.8,9000000
5.1,9000000
5.2,5000000
5.4,4200000
4.1,8666667
3.7,5500000
4.1,9083333
5.1,8500000
5.2,8500000
3.1,9333333
2.6,7500000
3.7,8250000
3.2,5400000
5.5,5166667
1.7,9000000
4.5,8166667
2.8,7937500
2.7,7925000
2.9,7900000
2.0,7625000
7.4,7750000
2.1,7333333
2.7,9000000
0.1,7750000
2.9,7500000
4.7,7400000
1.6,6333333
4.5,7300000
2.2,5857143
4.6,7050000
1.6,7000000
3.6,7081429
1.7,6060000
3.8,8000000
1.5,7000000
2.2,3466667
1.3,6825000
4.5,6750000
2.8,6750000
3.0,6700000
3.1,6525000
5.8,6500000
5.5,4710739
2.2,6500000
4.4,6500000
3.6,6500000
5.5,6475000
2.2,4250000
5.2,4700000
3.5,6300000
5.3,6100000
7.4,9000000
1.6,6050000
4.0,3833333
1.7,6000000
4.0,6000000
2.8,6000000
2.0,5500000
2.1,6000000
3.4,5950000
3.5,5750000
2.4,5700000
4.2,5600000
2.3,5587500
1.8,5500000
0.8,5000000
2.0,5300000
2.9,5300000
2.6,5165000
4.3,5125000
3.3,5100000
3.8,5100000
4.1,5875000
3.3,5000000
5.8,5000000
3.6,4900000
3.9,4900000
2.7,4825000
0.0,4750000
5.3,6105000
2.5,7000000
3.2,13833333
2.0,4600000
2.8,4600000
3.6,5500000
2.0,4500000
1.2,2100000
3.4,4000000
2.7,6583333
2.6,4275000
2.3,5100000
3.2,4200000
5.0,4175000
2.5,4125000
2.1,4250000
1.6,5000000
2.3,4000000
3.1,4250000
5.0,3950000
2.6,2666667
1.7,3900000
3.1,3750000
3.3,3700000
3.7,3650000
4.2,6100000
3.5,3500000
1.7,3475000
3.4,3450000
1.7,3400000
1.9,3400000
2.3,3400000
0.8,3400000
2.4,8250000
3.7,3300000
5.2,3250000
4.3,3200000
3.0,3125000
4.4,3000000
3.2,3000000
3.3,2975000
5.3,2975000
1.7,2950000
3.7,9428571
2.4,2900000
