Weighted ABs,Weighted Hits,Weighted 2Bs,Weighted 3Bs,Weighted HRs,Weighted BBs,Weighted SBs,Avg Annual
1043.75,315.5,68.25,15.75,56.25,165.5,40.75,24083333
1021.5,346.75,56.0,1.0,77.0,139.5,6.0,29200000
953.75,272.0,56.5,5.5,57.25,75.75,8.25,27500000
1019.25,310.25,58.25,0.75,68.5,138.25,19.5,24000000
976.75,276.25,52.5,6.25,21.25,106.25,38.0,23000000
861.5,271.5,63.0,3.0,34.5,205.5,9.75,22500000
857.75,234.5,50.5,1.0,55.0,149.5,13.75,25000000
1075.25,337.0,77.0,0.75,51.75,110.75,9.25,24000000
777.0,236.75,52.25,4.5,61.5,89.75,4.75,22000000
847.75,235.0,45.0,3.75,60.75,157.75,7.25,23000000
902.25,310.25,65.5,1.75,30.0,122.0,4.0,23000000
677.0,205.75,53.75,1.5,28.0,76.25,21.5,22000000
1073.25,345.0,69.75,3.0,50.25,143.75,1.0,22000000
651.5,212.5,42.75,1.0,27.0,82.5,3.25,18555556
901.5,260.0,55.5,1.75,24.0,57.25,11.25,20666667
1062.25,280.0,49.25,4.5,36.25,77.75,30.75,14000000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22142857
804.25,233.5,44.5,8.0,12.0,61.25,62.5,21857143
799.5,226.25,45.0,2.5,47.0,149.0,19.75,21625000
1056.75,312.75,49.0,1.75,43.75,108.75,9.75,18000000
1053.5,307.5,51.75,8.5,60.0,113.75,54.25,20000000
956.0,281.0,51.75,3.5,40.25,114.0,2.5,16875000
910.5,216.0,43.0,0.0,66.5,129.0,3.5,23000000
776.25,208.5,43.5,0.75,27.25,97.75,11.0,18000000
707.5,184.25,35.75,0.0,22.25,102.5,10.75,16400000
877.25,268.75,50.75,9.75,51.0,102.75,26.0,15775000
1017.5,288.75,66.25,3.5,33.0,166.75,35.75,18571429
263.5,57.0,11.0,0.0,9.0,16.75,0.0,19600000
872.75,252.25,58.25,2.75,31.5,120.0,24.75,17250000
451.0,146.0,26.0,6.0,34.0,29.0,15.0,11538462
1051.25,278.0,51.0,5.5,41.5,103.0,13.75,14285714
1091.75,295.0,54.5,8.0,45.0,94.0,25.75,18000000
997.0,267.5,57.25,0.0,71.25,144.75,4.25,20000000
1007.5,261.25,60.25,5.25,48.5,162.25,8.75,20000000
1008.25,297.25,55.0,4.0,45.5,78.75,1.75,18000000
1014.75,324.5,60.0,0.0,42.5,110.5,3.0,17000000
1080.0,314.75,67.25,9.0,72.5,93.5,3.5,14750000
984.5,257.0,65.0,1.5,58.25,111.5,20.75,21200000
946.0,269.0,65.75,3.5,20.75,60.25,11.75,12500000
1073.25,305.25,58.5,4.5,50.75,55.75,25.0,14250000
911.0,252.5,65.75,11.75,30.5,146.0,6.75,14560000
685.25,166.75,23.5,0.0,35.0,72.0,2.25,17000000
903.0,237.75,46.75,13.0,25.75,142.0,28.0,16500000
894.5,245.25,61.5,5.25,20.5,118.25,10.5,14000000
1110.0,304.0,63.0,1.75,60.75,86.0,9.0,16000000
1084.0,289.0,47.75,4.0,5.0,85.0,58.5,15000000
875.25,220.75,48.0,11.5,28.5,83.25,9.75,12500000
1018.5,273.75,49.5,4.25,46.0,124.75,15.5,14750000
1086.0,295.25,67.25,4.75,51.75,80.25,2.25,16666667
1001.5,278.25,53.0,2.75,44.75,102.75,9.75,16666667
922.75,248.5,45.5,2.0,60.25,81.25,7.75,14250000
848.0,264.25,71.5,10.75,15.5,97.5,3.75,8666667
881.75,260.5,41.25,5.75,21.75,77.25,36.5,16000000
1077.5,353.25,61.25,17.75,58.75,97.25,26.75,14000000
1007.25,274.0,52.5,7.0,27.5,126.25,53.25,8750000
975.0,291.0,53.5,4.5,14.75,76.75,2.75,13333333
792.5,219.25,35.75,4.0,25.0,75.75,15.5,13000000
860.0,211.5,46.25,2.5,22.75,101.25,13.0,13000000
1089.0,326.25,67.0,6.75,51.75,70.25,3.0,13000000
786.0,217.75,45.0,8.5,36.0,89.75,6.0,12666667
933.25,267.75,69.5,2.5,40.0,132.75,16.0,12300000
994.0,256.75,44.25,3.25,63.5,78.0,2.0,12295756
1031.0,281.0,50.75,3.75,55.75,130.0,11.75,12000000
844.75,237.75,53.5,3.75,39.0,75.0,7.75,16000000
367.25,107.75,21.5,1.0,9.0,33.25,11.75,12000000
959.25,252.25,49.75,15.5,23.0,95.0,39.0,13000000
987.5,292.25,68.25,3.75,51.0,144.0,28.5,6400000
730.5,186.0,33.0,7.5,19.25,49.0,6.75,8285714
1014.5,263.5,46.75,6.0,43.0,88.75,24.5,11000000
984.75,270.75,54.75,1.5,46.5,91.5,0.0,11000000
1117.5,306.0,45.0,1.0,21.5,103.25,4.75,11000000
1071.75,337.0,42.0,17.0,5.5,48.25,106.0,10000000
1151.5,338.25,56.0,18.75,21.5,62.25,41.5,8571429
959.25,242.25,49.25,6.5,60.75,90.0,4.0,13000000
1001.25,294.0,64.25,6.25,58.25,151.25,13.0,10850000
982.25,242.75,46.0,2.5,74.5,104.5,4.75,10500000
739.25,172.25,32.75,0.75,22.75,62.0,1.75,10500000
664.25,185.75,26.75,4.75,6.25,90.5,6.75,10333333
586.0,180.5,38.75,8.5,15.25,23.5,19.5,6825000
1132.0,326.5,77.5,5.75,47.25,113.75,45.5,10500000
943.75,262.5,52.5,8.0,20.75,52.0,20.75,9166667
1001.75,309.25,60.75,7.25,26.0,63.25,46.75,14000000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000
486.0,121.0,26.0,0.0,23.0,33.0,1.0,5918483
1070.0,366.0,70.5,7.75,42.0,103.0,54.5,23357143
1030.75,302.0,47.25,6.5,54.25,96.25,1.0,9000000
744.25,182.25,37.0,3.0,21.0,103.5,7.5,9000000
1016.5,247.0,57.75,4.0,36.5,127.25,31.5,5000000
