Weighted WAR,Avg Annual
14.8,24083333
12.62,30714286
12.38,29200000
13.73,25714286
10.57,24000000
7.15,25000000
11.3,23000000
10.6,22500000
8.3,25000000
13.75,24000000
7.08,22000000
10.35,23000000
11.2,23000000
8.85,24000000
9.78,22000000
8.18,18555556
11.03,30000000
4.17,20666667
4.2,14000000
0.0,22142857
6.4,21857143
5.9,21625000
4.75,18000000
6.75,20000000
7.08,16875000
6.38,18750000
3.6,20625000
5.08,17500000
7.75,18000000
8.72,16400000
11.22,15775000
6.95,19500000
8.12,17250000
1.8,11538462
8.72,14285714
5.65,20000000
10.85,18000000
10.78,14750000
2.9,12500000
5.5,14250000
7.22,14560000
2.65,17000000
5.95,16500000
4.9,25000000
3.25,17333333
8.53,16000000
9.95,13750000
4.22,15000000
8.0,12500000
1.98,14750000
6.3,16666667
6.65,16666667
6.2,14250000
7.35,8666667
7.47,16000000
1.8,14250000
9.3,14000000
5.33,13000000
4.28,13900000
8.68,8750000
3.38,13750000
4.28,13200000
3.77,11600000
4.75,13000000
6.8,13000000
3.0,11500000
6.4,12666667
4.9,12666667
9.68,12500000
8.97,12300000
8.75,12000000
6.65,12000000
2.02,12000000
7.2,12000000
4.22,12000000
3.1,12000000
7.15,13000000
8.32,10200000
9.32,6400000
8.8,8285714
6.67,11000000
2.02,11000000
6.7,10000000
5.65,8571429
11.88,10850000
3.55,16000000
8.45,7700000
3.28,10575000
4.6,10500000
1.4,10500000
0.67,10500000
3.93,10333333
5.52,6825000
13.6,10500000
5.15,16000000
0.0,6000000
2.2,5918483
14.08,23357143
7.67,9000000
4.35,9000000
8.05,5000000
7.12,4200000
5.65,8666667
3.03,5500000
4.85,9083333
6.67,8500000
6.8,8500000
2.8,9333333
4.18,7500000
5.35,8250000
3.12,5400000
6.25,5166667
1.65,9000000
1.88,8166667
1.7,7937500
1.5,7925000
4.38,7900000
0.0,6000000
1.12,7625000
3.27,7750000
1.7,7333333
1.7,9000000
0.0,7750000
2.22,7500000
7.18,7400000
0.45,6333333
1.33,7300000
1.9,5857143
4.98,7050000
-0.22,7000000
4.65,7081429
0.78,6060000
4.17,8000000
2.33,7000000
1.8,3466667
2.28,6825000
4.0,6750000
1.88,6750000
3.45,6700000
5.35,6525000
6.85,6500000
8.28,4710739
2.52,6500000
2.33,6500000
3.98,6500000
5.42,6475000
2.05,4250000
5.2,4700000
2.15,6300000
6.77,6100000
11.05,9000000
1.9,6050000
3.77,3833333
2.3,6000000
3.7,6000000
2.97,6000000
1.62,5500000
3.45,6000000
3.83,5950000
1.73,5750000
3.08,5700000
5.05,5600000
2.25,5587500
0.45,5500000
0.65,5000000
3.0,5300000
1.2,5300000
0.0,3857143
3.15,5165000
5.2,5125000
5.57,5100000
2.33,5100000
4.92,5875000
3.47,5000000
1.45,5000000
-0.12,4900000
4.65,4900000
3.0,4825000
7.77,6105000
3.48,7000000
4.03,13833333
0.0,3333333
1.75,4600000
3.1,4600000
3.6,5500000
1.8,4500000
1.72,2100000
3.92,4000000
4.05,6583333
3.35,4275000
3.95,5100000
0.65,4200000
7.25,4175000
2.2,4125000
0.4,4250000
1.68,5000000
2.43,4000000
2.02,4250000
5.53,3950000
0.3,2666667
2.3,3900000
4.93,3750000
3.6,3700000
3.48,3650000
7.05,6100000
1.55,3500000
0.6,3475000
2.12,3450000
1.32,3400000
1.9,3400000
3.2,3400000
0.02,3400000
3.82,8250000
2.95,3300000
5.35,3250000
5.62,3200000
3.35,3125000
0.0,3125000
0.87,3000000
1.93,3000000
4.65,2975000
4.57,2975000
0.7,2950000
4.83,9428571
3.2,2900000
5.55,2900000
0.0,2860000
9.82,565000
9.82,565000
3.67,2825000
3.35,2500000
0.0,3000000
1.95,2750000
3.6,2700000
3.03,2600000
2.15,2600000
3.02,2550000
0.55,2500000
0.22,2500000
2.23,2450000
3.15,2440000
1.9,2400000
2.17,2375000
2.23,2375000
4.57,2360000
3.5,2350000
2.38,2300000
2.33,2300000
1.07,2250000
1.4,2250000
2.25,2100000
0.9,2225000
2.35,2200000
1.88,2250000
1.88,2050000
1.93,2000000
2.0,2000000
0.15,2000000
0.03,2000000
1.88,2000000
1.6,5000000
1.02,2000000
2.63,1950000
1.95,1950000
1.65,1925000
0.0,1900000
1.05,1875000
0.33,1850000
0.9,1812500
0.0,2000000
1.38,1750000
0.2,1700000
2.22,1675000
3.98,1640000
1.55,2250000
1.33,4800000
0.55,1600000
2.52,1550000
3.58,5583333
2.7,4333333
1.27,1500000
-1.1,1500000
0.83,1500000
2.88,1450000
0.88,1450000
1.15,1375000
1.08,1312500
3.8,1287500
0.35,1275000
0.85,1250000
1.8,1200000
1.77,1200000
0.9,1200000
0.62,1195000
1.98,1180000
0.0,4000000
2.93,1250000
1.95,1113000
0.68,1100000
-0.4,1100000
0.88,1100000
0.0,1090000
-0.3,1090000
0.3,1090000
0.1,1090000
0.6,1090000
0.0,1090000
1.38,1075000
0.3,1050000
-0.97,1050000
10.8,1000000
0.68,1000000
0.62,1000000
-1.2,1000000
0.9,1000000
2.8,4166667
0.75,950000
0.78,925000
0.15,905000
-0.02,900000
0.32,870000
2.25,860000
-0.25,850000
-1.2,850000
0.28,850000
0.0,820000
0.6,805000
-0.4,800000
0.08,800000
1.48,782000
0.2,750000
-0.15,690000
5.45,657000
0.15,650000
0.15,650000
-0.2,650000
-0.08,650000
4.2,645000
0.08,630000
9.78,623200
7.8,622300
1.6,621900
3.05,620500
6.35,620400
1.07,615500
3.9,605094
10.17,605000
1.0,605000
5.0,604975
-0.08,604500
5.25,604500
2.52,602500
3.1,602500
0.62,600000
0.4,600000
3.9,599200
5.45,599000
3.9,587500
4.2,585000
-0.08,585000
1.52,584500
3.5,582500
0.0,582000
4.45,581900
0.7,581500
2.9,580450
0.15,580000
1.57,580000
6.52,580000
3.95,579200
5.3,577200
1.93,577000
-0.65,575500
7.28,575200
0.4,575000
-0.92,575000
0.5,575000
1.55,575000
1.05,575000
2.55,575000
1.27,574700
-0.32,574000
0.83,573500
-0.65,573500
4.5,573000
1.32,572500
4.62,572000
2.17,571000
3.25,571000
0.55,571000
1.95,570800
2.85,570800
-0.18,570750
2.43,570500
-0.25,570500
6.33,570100
1.8,570000
-0.62,570000
-1.0,570000
2.05,569600
1.52,569500
5.1,569500
1.32,568500
3.62,568450
3.33,568000
2.08,567900
0.12,567700
5.72,567400
1.42,567000
-0.75,566800
-0.75,566800
3.5,566500
0.57,565900
0.38,565000
-0.83,565000
2.0,565000
1.55,565000
0.78,564800
1.3,564500
2.25,564000
0.4,563560
0.15,563500
0.53,562375
0.5,561900
1.47,561600
0.5,561500
1.15,561500
2.05,561500
1.55,561000
1.47,560400
-0.23,560400
0.62,560300
3.08,560200
2.75,560100
0.9,560000
-0.18,560000
-0.15,560000
2.98,560000
-0.18,560000
1.42,560000
2.45,559600
2.65,559200
-0.4,559200
0.2,559000
1.67,559000
-0.18,559000
0.78,558900
-0.28,558600
3.43,558500
0.1,558400
0.85,558400
1.6,558200
-0.17,558025
-0.47,558000
-0.68,558000
1.0,558000
0.2,558000
2.12,557900
0.3,557500
0.55,557500
0.62,557471
-0.05,557100
0.48,557000
-0.38,557000
2.95,556900
2.08,556500
1.9,556500
2.43,556500
0.2,556500
-1.82,556500
0.05,556400
1.55,556200
1.75,556000
0.98,555968
1.78,555950
0.6,555700
1.05,555000
0.3,555000
1.1,555000
0.2,555000
1.4,555000
1.4,555000
0.0,555000
2.45,555000
0.95,555000
2.43,555000
-0.2,555000
0.1,555000
-0.35,555000
2.5,555000
4.83,555000
0.2,555000
4.93,555000
3.92,555000
0.8,555000
1.12,555000
-0.08,555000
1.55,555000
-0.25,554800
0.8,554600
1.3,554250
0.8,554000
-0.02,554000
-0.25,553900
0.22,553900
0.5,553850
1.1,553800
-0.35,553600
0.2,553250
0.53,553100
0.1,553000
2.45,553000
1.1,553000
-0.08,552800
0.73,552700
1.27,552500
2.0,552500
0.0,552450
1.0,552300
0.0,552000
0.7,552000
0.5,552000
-0.9,552000
0.28,552000
-0.25,551700
0.83,551600
-0.3,551400
0.38,551300
-0.5,551300
1.5,551200
0.7,551000
-0.3,551000
0.28,550800
0.15,550700
0.15,550400
-0.9,550200
0.1,550100
0.5,550100
0.25,550100
0.3,550000
0.38,550000
0.78,550000
0.08,550000
3.73,550000
0.45,550000
1.2,550000
-0.05,550000
2.1,550000
0.15,550000
3.25,550000
3.3,550000
0.4,550000
0.45,550000
0.38,549900
0.3,549800
-0.1,549400
0.35,549000
0.33,549000
0.2,549000
0.2,548940
0.08,548600
-0.7,548500
0.6,548500
1.2,548300
0.6,548300
0.6,548300
0.3,548100
0.5,548000
1.1,548000
0.0,548000
0.1,547990
0.3,547800
0.0,547600
-0.4,547500
0.9,547500
0.7,547500
3.6,547500
2.72,547500
1.6,547500
0.1,547500
-0.1,547500
-1.6,547500
-0.3,547500
-1.15,547500
0.1,547500
-1.1,547200
0.68,547000
0.0,547000
0.7,547000
-0.05,547000
-0.3,547000
-0.1,547000
0.4,546900
0.4,546900
-1.2,546800
-0.6,546625
0.0,546500
0.4,546500
0.2,546500
0.1,546400
0.0,546000
-0.1,546000
1.0,545800
-0.72,545700
0.2,545700
-0.3,545650
1.65,545600
-0.65,545600
0.2,545500
0.9,545500
0.4,545500
0.1,545400
0.0,545000
-0.45,545000
-0.3,545000
0.0,545000
-0.8,545000
-0.1,545000
-0.45,545000
-0.1,545000
-0.2,545000
0.1,545000
0.7,545000
-0.4,545000
0.0,545000
0.0,545000
0.0,545000
0.0,545000
-0.9,545000
0.0,545000
0.0,545000
0.0,545000
0.0,545000
0.0,545000
0.2,545000
0.5,545000
0.1,545000
0.1,545000
-0.9,545000
0.4,545000
0.6,545000
0.0,545000
0.0,545000
0.0,545000
0.0,545000
0.0,545000
